"","var","chao"
"1","Vogue1A.01.101",17
"2","Vogue1A.01.106",21
"3","Vogue1A.01.52",23
"4","Vogue1A.01.59",17
"5","Vogue1A.01.61",24
"6","Vogue1A.01.62",22
"7","Vogue1A.01.64",19
"8","Vogue1A.01.65",16
"9","Vogue1A.01.68",17
"10","Vogue1A.01.69",19
"11","Vogue1A.01.70",15
"12","Vogue1A.01.71",21
"13","Vogue1A.01.74",16
"14","Vogue1A.01.75",20
"15","Vogue1A.01.76",27
"16","Vogue1A.01.77",17
"17","Vogue1A.01.78",17
"18","Vogue1A.01.81",27
"19","Vogue1A.01.84",22
"20","Vogue1A.01.85",15
"21","Vogue1A.01.92",22
"22","Vogue1B.01.01",20
"23","Vogue1B.01.03",15
"24","Vogue1B.01.04",16
"25","Vogue1B.01.05",16
"26","Vogue1B.01.06",26
"27","Vogue1B.01.08",23
"28","Vogue1B.01.09",18
"29","Vogue1B.01.11",20
"30","Vogue1B.01.12",24
"31","Vogue1B.01.13",23
"32","Vogue1B.01.15",19
"33","Vogue1B.01.17",18
"34","Vogue1B.01.21",16
"35","Vogue1B.01.26",21
"36","Vogue1B.01.27",19
"37","Vogue1B.01.32",15
"38","Vogue1B.01.34",20
"39","Vogue1B.01.36",24
"40","Vogue1B.01.37",22
"41","Vogue1B.01.38",24
"42","Vogue1B.01.40",19
"43","Vogue1B.01.43",20
"44","Vogue1B.01.48",23
"45","Vogue1B.01.51",18
"46","Vogue1B.01.52",14
"47","Vogue1B2.01.06",21
"48","Vogue1B2.01.07",15
"49","Vogue1B2.01.08",18
"50","Vogue1B2.01.09",17
"51","Vogue1B2.01.10",18
"52","Vogue1B2.01.11",22
"53","Vogue1B2.01.12",21
"54","Vogue1B2.01.15",14
