,Virus_Groups,Vogue1B.01.01,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.51,Vogue1B.01.52,Vogue1B.01.03,Vogue1B.01.48
1,Adenoviridae,6,5,21,54,24,6,13,16,9,10,13,11,13,21,28,20,28,10,24,9,9,5,99,13,30
2,Anelloviridae,2,0,0,32,7,0,63,4,1,0,1,13,37,0,0,22,6,8,65,73,0,21,0,0,31
3,Baculoviridae,3,0,1,30,4,0,25,19,10,8,14,1,3,10,0,6,2,9,14,4,25,3,4,7,13
4,Caudovirales,0,0,0,7,0,36,25,5,1,9,0,0,1,0,1,0,9,45,0,2,5,0,0,1,0
5,Coccolithovirus,32,67,119,398,77,1,40,105,50,7,102,17,12,165,50,141,159,367,257,18,8,12,120,153,272
6,dsDNA,606,17,79,85,283,160,93,29,93,522,48,68,222,65,139,135,8041,4309,224,54,112,75,105,0,0
7,dsDNA_RT,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,dsRNA,0,1,0,8,13,0,0,1,0,0,0,1,0,2,0,0,0,0,4,1,0,0,0,0,15
9,Herpesviridae,859,1090635,71,176,90,72,2214,85,1870,128,85,90,2635,136,52,95,20,221,166,31,115,37,8,106,87
10,Human_papillomavirus_type_56,13,9,8,11,9,6,5,8,33,12,16,299198,23,9,9,17,12,20,15,64,16,4,20,6,22
11,Mimiviridae,4,1,2,0,3,11,14,1,1,2,1,292,18,1,0,1,12,76,1,83,6,3,0,0,2
12,negative_ssRNA,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,Other_Phages,202,0,2,3,504,8,26,57,73,44,0,57,1,11,0,39,334,28,1,3,137,15,5,0,0
14,Other_Viruses_unclassified,19,0,14,47,134,18,57,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,48,0,57,1
15,Papillomaviridae,1478,89,139,148,4048,18019,1784,2504,234,163,267,470055,6175,513,154,478594,4497,298,144920,824,717762,80,43,2224,754
16,Phycodnaviridae,39,4,15,105,8,3,48,28,5,7,20,5,3,44,21,21,31,6,32,3,11,332,116,29,57
17,Picornaviridae,3,343,7,7,1,6,3,7,5,0,9,5,4,8,5,8,3,1,3,3,7,1,29,6,4
18,Podoviridae,122,1,5,27,32,11,227,18,11,2494,5,15,17,7,182,13,513,267,17,62,134,23,140,0,0
19,Polydnaviridae,4,6,12,14,6,0,5,8,34,1,52,13,1,30,12,13,8,7,1407,5,16,0,1,12,15
20,Polyomaviridae,1,0,0,0,0,0,0,17,0,4,0,0,0,0,1,0,108,7,1,1,1,0,0,1,0
21,positive_ssRNA,1,3,1,41,7,2,1,2,6,1,3,0,1,4,0,6,7,10,6,0,2,2,27,5,4
22,Retroviridae,1,2,8,45,1,2,6,5,0,2183,11,2,1,12,7,3,20,3,8,5,3,79,7,7,5
23,Siphoviridae,1680,2,384,355,418,84,1015,208,733,470,13,254,7042,184,2548,262,32859,3823,119,540,1392,375,1059,0,0
24,ssDNA,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0
