,Viral_Families,freq,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.70,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106,Vogue1A.01.69,Vogue1A.01.71,Vogue1A.01.77
1,Myoviridae,10963,94,53,125,114,114,61,61,88,69,83,587,10,265,148,8690,0,95,66,NA,NA,NA
2,Other Viruses (unclassified),1614,15,9,17,11,11,4,3,8,4,24,791,6,11,1,682,1,3,2,NA,NA,NA
3,Podoviridae,13182,69,24,463,87,87,23,93,35,21,2047,4449,720,4224,106,94,13,98,371,NA,NA,NA
4,Siphoviridae,46225,49,11,641,216,216,7,15,861,93,64,3478,49,94,1187,39124,7,19,28,NA,NA,NA
6,Adenoviridae,2005,59,33,218,152,152,113,71,46,108,46,461,17,94,85,15,5,55,59,101,69,46
7,Alloherpesviridae,194,7,6,5,16,16,15,8,5,9,3,18,3,3,8,2,1,12,23,17,8,9
8,Alphaflexiviridae,302,15,7,16,23,23,15,16,8,6,4,75,2,21,22,1,0,8,9,22,4,5
9,Anelloviridae,454,10,1,0,2,2,78,3,0,0,0,4,0,342,1,0,0,3,1,6,0,1
10,Ascoviridae,10,1,0,0,1,1,0,1,0,1,0,2,1,1,0,0,0,1,0,0,0,0
11,Asfarviridae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Baculoviridae,704,44,16,44,67,67,40,34,26,23,20,60,5,37,39,10,0,36,27,56,26,27
13,Bicaudaviridae,36,1,0,4,1,1,1,2,1,1,3,9,1,4,2,0,0,1,2,0,1,1
14,Bunyaviridae,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15,Caliciviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Caudovirales,432,1,2,0,1,1,1,0,0,2,2,400,1,6,4,2,0,7,0,1,1,0
17,Circoviridae,8,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0
18,Closteroviridae,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Endornaviridae,5,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0
20,Flaviviridae,6,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0
21,Fuselloviridae,61,1,0,0,4,4,7,11,2,8,3,1,0,13,1,0,0,3,0,0,3,0
22,Hepadnaviridae,112,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
23,Herpesviridae,5951,287,55,303,421,424,629,248,203,240,213,693,124,209,290,71,1,259,265,498,240,278
24,Hytrosaviridae,158,1,1,1,0,0,4,0,4,0,0,139,0,0,4,0,0,1,1,1,0,1
25,Inoviridae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26,Iridoviridae,333,29,0,13,23,23,19,19,5,20,10,49,0,6,20,5,0,21,18,28,8,17
27,Lactobacillus phage,141,32,0,0,0,0,0,0,6,1,0,0,0,0,100,2,0,0,0,0,0,0
28,Lipothrixviridae,24,0,0,0,0,0,0,0,0,0,13,1,4,4,0,0,0,0,1,0,0,1
29,Luteoviridae,8,0,0,0,1,1,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0
30,Marseilleviridae,9,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0
31,Microviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,Mimiviridae,234,48,76,15,5,5,1,3,3,3,0,26,3,3,9,2,0,11,1,9,1,10
33,Mycodnaviridae,10,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0
34,Nimaviridae,109,2,4,12,4,4,8,11,3,1,2,19,0,12,5,0,0,3,3,9,3,4
35,Nudiviridae,14,1,0,0,1,1,0,0,0,1,0,1,0,0,2,1,0,1,2,3,0,0
36,Other dsDNA Viruses,407,12,9,37,27,27,25,28,19,19,8,19,15,28,35,8,0,21,18,26,12,14
37,Other Phages,348,6,25,0,1,1,1,3,2,3,1,235,0,5,31,2,2,3,0,1,2,24
38,Other ssDNA viruses,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0
39,Other ssRNA negative viruses,7,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0
40,Other ssRNA positive viruses,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,Pandoraviridae,1539,129,21,77,121,118,104,80,67,59,38,98,20,56,110,12,1,101,60,138,69,60
42,Papillomaviridae,1643506,778,20,23876,11654,11646,562,441,385,2179,566,453,1577237,580,574,616,1515,468,328,722,539,8367
43,Paramyxoviridae,40,2,5,1,1,1,2,5,1,2,1,2,1,3,1,1,0,4,2,0,3,2
44,Parvoviridae,11,1,0,0,1,1,0,1,0,0,0,4,1,2,0,0,0,0,0,0,0,0
45,Phycodnaviridae,17058,878,439,1082,1564,1567,898,601,620,654,572,1759,794,904,1212,125,1,706,611,1086,498,487
46,Picornaviridae,6863,7,22,127,14,12,9,7,9,9,12,1,1,1,13,9,6571,7,3,4,18,7
47,Polydnaviridae,3737,285,64,383,276,281,195,172,153,168,82,184,21,112,244,19,10,214,216,352,148,158
48,Polyomaviridae,16,1,0,0,2,2,0,0,0,0,5,3,0,2,0,0,0,0,1,0,0,0
49,Potyviridae,11,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
50,Poxviridae,299,2,2,240,7,7,4,4,2,4,2,6,2,1,5,0,0,1,3,2,2,3
51,Reoviridae,188,96,7,1,9,0,39,1,6,2,3,2,1,0,2,0,0,3,1,7,4,4
52,Retroviridae,874,58,13,63,79,98,45,44,35,41,17,55,5,33,74,9,1,44,25,71,35,29
53,Streptococcus phage,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
