,Viral_Families,freq,Vogue1B.01.01,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.52,Vogue1B.01.03,Vogue1B.01.27,Vogue1B.01.51
1,Inoviridae,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA
2,Myoviridae,15298,558,8,79,142,297,128,74,32,72,4503,72,58,373,9,155,6875,284,136,51,70,181,648,NA,NA,NA
3,Podoviridae,19331,240,10,164,525,598,39,526,313,190,8258,25,149,111,3741,130,1159,507,135,200,1000,70,1129,NA,NA,NA
4,Siphoviridae,57318,2552,33,324,337,359,102,1343,197,783,1684,25,238,7806,2491,332,34203,359,132,678,1245,117,1138,NA,NA,NA
6,Adenoviridae,1577,19,33,36,192,61,19,24,62,27,45,63,18,37,193,88,85,9,96,40,26,106,136,60,86,16
7,Alloherpesviridae,134,1,1,7,5,8,0,5,5,4,3,11,2,1,2,8,4,0,13,1,2,14,3,16,17,1
8,Alphaflexiviridae,300,2,1,3,51,11,0,1,6,6,0,8,1,0,0,27,22,1,16,0,0,13,106,17,6,2
9,Ampullaviridae,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Anelloviridae,517,4,1,0,17,3,0,100,3,2,0,3,18,55,1,29,13,2,94,91,0,53,1,2,1,24
11,Ascoviridae,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1
12,Asfarviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Astroviridae,18,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
14,Baculoviridae,618,14,15,21,48,17,6,14,25,26,3,42,3,11,12,38,48,5,55,1,9,73,12,52,51,17
15,Bicaudaviridae,36,0,0,0,2,1,0,1,1,2,0,1,0,0,3,1,1,0,3,0,1,6,5,2,5,1
16,Caudovirales,144,0,0,0,7,2,14,75,9,0,0,0,1,1,9,4,8,2,1,4,4,1,0,2,0,0
17,Caulimoviridae,7,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Circoviridae,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
