"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"1","Lactobacillus phage LL-H",1,0,0,1,1,0,0,0,0,2,0,0,0,0,37495,0,0,0
"2","Picovirinae",1,0,269,0,0,0,0,0,0,2,0,408,0,4,7,12,0,0
"3","Podoviridae",3,0,2,1,1,1,1,1,0,86,107,16,93,1,1,0,2,15
"4","T7likevirus",0,1,0,0,0,0,0,0,1,12,171,7,6,0,0,0,2,4
"5","Autographivirinae",0,0,1,0,0,0,0,0,0,0,85,0,51,1,0,0,0,0
"6","Staphylococcus phage phiMR11",0,0,0,127,127,0,0,0,0,0,28,0,0,0,0,0,0,0
"7","Enterobacteria phage T4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8","Siphoviridae",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"9","Bacillus phage SPP1",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
"10","Viruses",0,0,0,0,0,0,0,0,0,0,22,0,0,0,668,0,0,0
"11","L5likevirus",0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0
"12","Lactococcus phage c2",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
