"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","1211417",1,0,0,0,0,0,0,0
"2","1448276",1,0,0,0,0,0,0,0
"3","870475",1,0,0,0,0,0,0,0
"4","Chrysoviridae",1,0,0,0,0,0,0,0
"5","Paramyxoviridae",1,3,3,0,0,4,1,0
"6","Potyviridae",1,1,1,0,2,1,0,0
"7","1109713",2,0,0,0,0,0,0,0
"8","1289595",2,0,0,0,0,0,0,0
"9","1448274",2,0,0,0,0,0,0,0
"10","1605721",2,7,2,2,9,14,5,0
"11","573174",2,0,0,0,0,0,0,0
"12","754068",2,2,6,0,5,10,6,0
"13","Bicaudaviridae",2,0,1,0,0,5,6,1
"14","Caliciviridae",2,0,0,0,0,0,0,0
"15","870469",3,0,0,0,0,0,0,0
"16","Mimiviridae",3,2,5,16,4,7,1,7
"17","Reoviridae",3,0,0,0,0,1,0,0
"18","Tymoviridae",3,0,2,0,2,1,0,0
"19","12333",4,0,0,0,0,0,0,0
"20","1349410",4,69,93,1,81,137,26,7
"21","Iridoviridae",4,16,28,1,32,50,4,0
"22","Retroviridae",4,11,34,1,29,25,11,6
"23","Alloherpesviridae",5,12,10,0,9,32,5,2
"24","278008",8,0,0,0,0,0,0,0
"25","38018",8,0,0,0,1,0,0,0
"26","1640978",9,0,0,0,0,1,0,0
"27","35237",9,2,6,0,5,6,5,2
"28","186617",10,0,0,0,2,4,2,1
"29","Alphaflexiviridae",10,2,8,0,3,3,21,0
"30","28883",11,0,1,0,1,2,0,0
"31","Baculoviridae",11,35,32,1,51,50,50,6
"32","Circoviridae",12,0,0,2,0,0,0,0
"33","1109714",13,0,0,0,0,0,0,0
"34","1168843",14,0,0,0,0,0,0,0
"35","870471",18,0,0,0,0,0,0,0
"36","Lipothrixviridae",18,0,1,8,2,0,8,0
"37","129861",19,0,0,0,0,0,0,0
"38","911573",20,0,0,0,0,0,0,0
"39","Adenoviridae",20,6958,34,13,58,33,100,185
"40","Polydnaviridae",21,240,253,9,301,432,48,27
"41","749413",27,0,3,0,0,0,0,0
"42","139871",37,0,0,0,0,1,474,1
"43","1392231",50,0,0,0,0,0,0,0
"44","350104",57,0,0,0,0,0,0,0
"45","Herpesviridae",107,412,250,107,269,321,142,72
"46","10239",122,1,1,1,1,1,117,1
"47","334523",150,0,0,0,0,0,0,0
"48","Phycodnaviridae",161,367,590,181,544,466,1226,136
"49","Myoviridae",273,29,51,61,49,29,369,21
"50","Podoviridae",1267,9,20,4559,14,17,309,182
"51","1",4615,69,115,30,96,114,1690,26
"52","Siphoviridae",9420,10,57,316,18,12,715,11
"53","Papillomaviridae",156173,393,279,304,852,390,86,200
"54","1425359",0,1,0,0,0,0,0,0
"55","1450746",0,1,1,0,0,0,0,0
"56","756277",0,1,0,0,0,0,0,0
"57","Anelloviridae",0,1,2,0,4,0,1,0
"58","Polyomaviridae",0,1,1,185,0,0,0,0
"59","Parvoviridae",0,2,0,0,1,2,0,0
"60","755273",0,3,1,0,3,0,4,0
"61","Nimaviridae",0,3,4,0,1,4,19,0
"62","Poxviridae",0,3,6,2,5,5,4,0
"63","Fuselloviridae",0,5,1,0,1,3,0,0
"64","1349409",0,8,3,0,7,4,4,0
"65","1351702",0,0,1,0,0,0,0,0
"66","Ascoviridae",0,0,1,0,0,1,0,0
"67","Inoviridae",0,0,1,0,0,2,0,0
"68","Nudiviridae",0,0,1,1,0,1,0,0
"69","396034",0,0,0,2,0,0,0,0
"70","447909",0,0,0,17,0,0,1,0
"71","1168833",0,0,0,0,1,0,0,0
"72","1224525",0,0,0,0,1,0,1,0
"73","382262",0,0,0,0,1,0,0,0
"74","Endornaviridae",0,0,0,0,1,0,0,0
"75","Luteoviridae",0,0,0,0,1,0,1,0
"76","Microviridae",0,0,0,0,1,0,0,0
"77","Secoviridae",0,0,0,0,1,1,0,0
"78","Hytrosaviridae",0,0,0,0,4,1,1,0
"79","1608123",0,0,0,0,0,1,0,0
"80","432371",0,0,0,0,0,1,0,0
"81","Flaviviridae",0,0,0,0,0,1,2,0
"82","Hepeviridae",0,0,0,0,0,1,0,0
"83","Picornaviridae",0,0,0,0,0,1,0,336
"84","444861",0,0,0,0,0,0,1,0
"85","548681",0,0,0,0,0,0,1,0
"86","743582",0,0,0,0,0,0,1,0
"87","573173",0,0,0,0,0,0,3,0
