"","Var1","freq","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","1",6755,4615,69,115,30,96,114,1690,26
"2","Adenoviridae",7401,20,6958,34,13,58,33,100,185
"3","Alloherpesviridae",75,5,12,10,0,9,32,5,2
"4","Alphaflexiviridae",47,10,2,8,0,3,3,21,0
"5","Anelloviridae",8,0,1,2,0,4,0,1,0
"6","Ascoviridae",2,0,0,1,0,0,1,0,0
"7","Baculoviridae",236,11,35,32,1,51,50,50,6
"8","Bicaudaviridae",15,2,0,1,0,0,5,6,1
"9","Caliciviridae",2,2,0,0,0,0,0,0,0
"10","Caudovirales",39,31,0,1,2,2,2,1,0
"11","Chrysoviridae",1,1,0,0,0,0,0,0,0
"12","Circoviridae",14,12,0,0,2,0,0,0,0
"13","Endornaviridae",1,0,0,0,0,1,0,0,0
"14","Flaviviridae",3,0,0,0,0,0,1,2,0
"15","Fuselloviridae",10,0,5,1,0,1,3,0,0
"16","Hepeviridae",1,0,0,0,0,0,1,0,0
"17","Herpesviridae",1680,107,412,250,107,269,321,142,72
"18","Hytrosaviridae",6,0,0,0,0,4,1,1,0
"19","Inoviridae",3,0,0,1,0,0,2,0,0
"20","Iridoviridae",135,4,16,28,1,32,50,4,0
"21","Lactobacillus phage",513,37,0,0,0,0,1,474,1
"22","Lipothrixviridae",37,18,0,1,8,2,0,8,0
"23","Luteoviridae",2,0,0,0,0,1,0,1,0
"24","Microviridae",1,0,0,0,0,1,0,0,0
"25","Mimiviridae",45,3,2,5,16,4,7,1,7
"26","Myoviridae",882,273,29,51,61,49,29,369,21
"27","Nimaviridae",31,0,3,4,0,1,4,19,0
"28","Nudiviridae",3,0,0,1,1,0,1,0,0
"29","Other dsDNA Viruses",81,11,8,15,0,13,16,16,2
"30","Other Phages",282,255,1,3,17,2,2,2,0
"31","Other ssRNA negative viruses",1,0,0,0,0,0,1,0,0
"32","Other ssRNA positive viruses",2,0,0,0,0,1,0,1,0
"33","Other Viruses (unclassified)",265,132,2,1,1,3,5,119,2
"34","Pandoraviridae ",485,6,84,98,3,97,155,35,7
"35","Papillomaviridae",158677,156173,393,279,304,852,390,86,200
"36","Paramyxoviridae",12,1,3,3,0,0,4,1,0
"37","Parvoviridae",5,0,2,0,0,1,2,0,0
"38","Phycodnaviridae",3671,161,367,590,181,544,466,1226,136
"39","Picornaviridae",337,0,0,0,0,0,1,0,336
"40","Podoviridae",6377,1267,9,20,4559,14,17,309,182
"41","Polydnaviridae",1331,21,240,253,9,301,432,48,27
"42","Polyomaviridae",187,0,1,1,185,0,0,0,0
"43","Potyviridae",6,1,1,1,0,2,1,0,0
"44","Poxviridae",25,0,3,6,2,5,5,4,0
"45","Reoviridae",4,3,0,0,0,0,1,0,0
"46","Retroviridae",121,4,11,34,1,29,25,11,6
"47","Secoviridae",2,0,0,0,0,1,1,0,0
"48","Siphoviridae",10559,9420,10,57,316,18,12,715,11
"49","Streptococcus phage",134,134,0,0,0,0,0,0,0
"50","Tymoviridae",8,3,0,2,0,2,1,0,0
"51","Vibrio phage",5,2,0,0,0,0,0,3,0
