,Var1,freq,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106,Vogue1B.01.01,Vogue1B.01.03,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.51,Vogue1B.01.52,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15
1,Other dsDNA Viruses,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Other dsDNA Viruses,354,1,2,11,7,7,8,9,9,4,4,10,3,6,6,4,13,14,3,0,9,0,25,8,17,8,6,11,4,3,12,2,0,9,2,11,24,0,4,8,2,18,1,0,9,2,3,9,2,6,0,5,6,5,2
4,Caudovirales,18,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
5,Other dsDNA Viruses,309,1,5,21,14,14,13,15,7,12,2,6,3,8,6,8,4,13,4,0,7,14,3,7,1,5,12,6,0,1,7,0,1,10,3,2,8,2,4,2,0,13,0,2,11,1,0,2,2,6,0,5,10,6,0
6,Ascoviridae,17,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,1,0,0
7,Asfarviridae,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bicaudaviridae,86,1,0,4,1,1,1,2,0,1,1,1,3,9,1,1,4,2,0,0,1,2,0,2,0,0,2,1,0,1,1,2,0,1,0,0,5,3,1,1,0,3,0,1,6,1,4,2,0,1,0,0,5,6,1
9,Fuselloviridae,104,1,0,0,4,4,7,11,0,2,3,8,3,1,0,0,13,1,0,0,3,0,1,3,0,0,1,1,0,0,0,0,5,4,2,0,2,0,6,2,0,2,0,0,4,0,0,0,5,1,0,1,3,0,0
10,Hytrosaviridae,46,1,1,1,0,0,4,0,1,4,0,0,0,2,1,0,0,4,0,0,1,1,0,3,0,0,3,0,0,1,0,0,0,0,0,0,3,0,2,1,0,4,0,0,2,0,0,0,0,0,0,4,1,1,0
11,Nudiviridae,53,1,0,0,1,1,0,0,3,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,1,0,3,1,0,0,0,0,0,2,0,1,2,8,0,9,0,0,0,0,8,0,3,0,0,1,1,0,1,0,0
12,Parvoviridae,33,1,0,0,1,1,0,1,0,0,0,0,0,4,0,1,2,0,0,0,0,0,1,0,2,1,0,1,0,0,3,0,0,2,0,0,0,0,1,3,1,1,0,1,0,0,0,0,2,0,0,1,2,0,0
13,Polyomaviridae,393,1,0,0,2,2,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,1,5,3,0,0,0,1,0,0,22,0,4,0,0,0,0,3,0,146,1,1,1,2,0,0,1,0,1,1,185,0,0,0,0
14,Poxviridae,403,1,2,240,7,7,4,4,2,2,1,4,2,6,3,2,1,5,0,0,1,2,2,2,1,3,8,2,0,1,3,1,2,4,1,4,7,6,1,5,0,7,2,1,6,4,9,0,3,6,2,5,5,4,0
15,Togaviridae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Nimaviridae,267,2,4,12,4,4,8,11,9,3,3,1,2,15,4,0,12,4,0,0,3,3,1,5,0,0,4,6,0,6,3,2,0,4,0,4,7,0,6,49,0,6,1,0,16,11,1,0,3,4,0,1,4,19,0
17,Tymoviridae,54,2,1,0,1,1,2,3,1,0,2,0,0,2,0,0,5,2,0,0,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,7,1,1,3,0,1,3,0,2,0,2,1,0,0
18,Other dsDNA Viruses,21,3,0,0,2,2,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
