"","Var1","freq","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"1","1",95,2,2,1,4,4,2,3,0,0,7,0,1,50,0,4,1,1,0,3,5,5
"2","Adenoviridae",36,0,0,3,0,0,0,0,0,8,1,0,0,1,0,3,0,0,0,5,0,15
"3","Alloherpesviridae",20,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,14
"4","Ascoviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5","Baculoviridae",40,3,1,1,0,0,1,1,0,1,3,0,1,24,0,0,1,1,0,0,1,1
"6","Circoviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7","Flaviviridae",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"8","Herpesviridae",130,3,2,6,5,8,8,0,1,5,7,6,8,42,3,0,0,5,0,1,2,18
"9","Hytrosaviridae",137,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
"10","Iridoviridae",14,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,7
"11","Lipothrixviridae",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
"12","Mimiviridae",17,2,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0
"13","Myoviridae",25,0,2,0,0,0,1,0,0,0,5,0,0,11,1,0,0,0,0,0,0,5
"14","Nimaviridae",5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
"15","Nudiviridae",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"16","Other dsDNA Viruses",8,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,3,0,0,0,0
"17","Other Phages",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"18","Other ssRNA negative viruses",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"19","Other Viruses (unclassified)",16,0,3,5,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0
"20","Pandoraviridae ",130,0,2,7,6,3,2,2,0,1,4,1,1,70,1,3,0,6,0,1,3,17
"21","Papillomaviridae",98,0,0,0,9,1,0,0,0,0,1,0,0,1,0,77,0,0,3,6,0,0
"22","Paramyxoviridae",10,2,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1
"23","Phycodnaviridae",195,0,2,2,1,4,8,0,0,6,1,3,1,71,1,91,0,0,0,1,0,3
"24","Picornaviridae",6840,7,22,126,9,7,7,6,3,9,17,9,11,0,6,1,0,12,8,6571,6,3
"25","Podoviridae",26,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,0
"26","Polydnaviridae",575,0,8,243,1,6,10,2,2,3,15,5,5,145,1,1,0,2,0,10,4,112
"27","Potyviridae",6,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"28","Poxviridae",3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"29","Reoviridae",92,7,7,1,9,0,39,1,7,6,4,0,3,0,3,0,0,1,0,0,3,1
"30","Retroviridae",71,0,0,2,1,20,0,0,0,5,4,15,0,13,1,0,0,4,4,1,1,0
"31","Siphoviridae",29,0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,3,0,0
"32","Tombusviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"33","Virgaviridae",95,0,0,0,0,0,87,0,0,0,0,0,2,0,0,0,3,2,0,0,0,1
