,Var1,freq,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106
1,Potyviridae,6,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,Poxviridae,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,1,95,2,2,1,4,4,2,3,0,0,7,0,1,50,0,4,1,1,0,3,5,5
4,Mimiviridae,17,2,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0
5,Paramyxoviridae,10,2,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1
6,Baculoviridae,40,3,1,1,0,0,1,1,0,1,3,0,1,24,0,0,1,1,0,0,1,1
7,Herpesviridae,130,3,2,6,5,8,8,0,1,5,7,6,8,42,3,0,0,5,0,1,2,18
8,Picornaviridae,6840,7,22,126,9,7,7,6,3,9,17,9,11,0,6,1,0,12,8,6571,6,3
9,Reoviridae,92,7,7,1,9,0,39,1,7,6,4,0,3,0,3,0,0,1,0,0,3,1
10,Other dsDNA Viruses,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Pandoraviridae ,98,0,2,7,5,3,2,2,0,0,4,0,1,51,1,1,0,1,0,1,1,16
12,Myoviridae,25,0,2,0,0,0,1,0,0,0,5,0,0,11,1,0,0,0,0,0,0,5
13,Phycodnaviridae,195,0,2,2,1,4,8,0,0,6,1,3,1,71,1,91,0,0,0,1,0,3
14,Other Viruses (unclassified),8,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
15,Polydnaviridae,575,0,8,243,1,6,10,2,2,3,15,5,5,145,1,1,0,2,0,10,4,112
16,Retroviridae,71,0,0,2,1,20,0,0,0,5,4,15,0,13,1,0,0,4,4,1,1,0
17,Adenoviridae,36,0,0,3,0,0,0,0,0,8,1,0,0,1,0,3,0,0,0,5,0,15
18,Siphoviridae,29,0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,3,0,0
19,Other Viruses (unclassified),5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Podoviridae,26,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,0
21,Pandoraviridae ,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
22,Papillomaviridae,98,0,0,0,9,1,0,0,0,0,1,0,0,1,0,77,0,0,3,6,0,0
23,Other Phages,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Other Viruses (unclassified),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Alloherpesviridae,20,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,14
26,Virgaviridae,95,0,0,0,0,0,87,0,0,0,0,0,2,0,0,0,3,2,0,0,0,1
27,Other dsDNA Viruses,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
28,Iridoviridae,14,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,7
29,Pandoraviridae ,29,0,0,0,0,0,0,0,0,1,0,1,0,17,0,2,0,5,0,0,2,1
30,Flaviviridae,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
31,Other Viruses (unclassified),2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
32,Other ssRNA negative viruses,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,Other dsDNA Viruses,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,Other dsDNA Viruses,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,Ascoviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Nimaviridae,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
37,Hytrosaviridae,137,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
38,Lipothrixviridae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
39,Tombusviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,Other dsDNA Viruses,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
41,Nudiviridae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
42,Other Phages,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
43,Circoviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
