"","Var1","freq","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","1",245,1,12,5,0,224,0,2,1
"2","Adenoviridae",708,1,0,1,0,1,0,705,0
"3","Alloherpesviridae",17,0,5,0,0,12,0,0,0
"4","Anelloviridae",2,0,0,0,0,2,0,0,0
"5","Ascoviridae",1,0,0,0,0,1,0,0,0
"6","Baculoviridae",427,3,7,0,0,416,0,1,0
"7","Caudovirales",1,0,0,0,0,1,0,0,0
"8","Closteroviridae",1,0,0,1,0,0,0,0,0
"9","Flaviviridae",1,1,0,0,0,0,0,0,0
"10","Herpesviridae",458,3,20,9,2,417,2,3,2
"11","Hytrosaviridae",1,0,0,0,0,1,0,0,0
"12","Iridoviridae",11,0,1,0,0,10,0,0,0
"13","Luteoviridae",1,1,0,0,0,0,0,0,0
"14","Mimiviridae",6,0,0,0,0,4,2,0,0
"15","Myoviridae",101,2,29,0,0,69,1,0,0
"16","Nimaviridae",3,1,0,1,0,1,0,0,0
"17","Nudiviridae",1,0,0,0,0,1,0,0,0
"18","Other dsDNA Viruses",103,0,0,0,1,101,0,0,1
"19","Other ssRNA positive viruses",1,0,0,0,0,1,0,0,0
"20","Other Viruses (unclassified)",8,1,0,0,0,2,0,4,1
"21","Pandoraviridae ",150,0,9,2,0,136,3,0,0
"22","Papillomaviridae",5,0,1,0,0,3,1,0,0
"23","Phycodnaviridae",600,1,15,3,0,577,3,1,0
"24","Picornaviridae",185,104,20,0,2,0,9,45,5
"25","Podoviridae",2,0,0,0,0,0,2,0,0
"26","Polydnaviridae",129,11,18,4,0,88,1,3,4
"27","Potyviridae",3,1,0,0,0,0,1,1,0
"28","Poxviridae",1,0,0,0,0,0,0,0,1
"29","Reoviridae",10,4,0,0,1,0,2,0,3
"30","Retroviridae",45,0,5,1,1,32,2,3,1
"31","Siphoviridae",6,0,1,0,0,4,0,1,0
