"","Var1","freq","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"1","1",246,0,5,3,0,2,0,3,2,0,0,1,5,1,1,2,213,0,1,0,3,0,2,1,1,0
"2","Adenoviridae",18,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3","Alloherpesviridae",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"4","Ampullaviridae",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Baculoviridae",28,2,2,0,3,3,0,0,1,1,0,0,2,0,1,1,0,3,4,1,0,0,0,2,1,1
"6","Betaflexiviridae",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Bicaudaviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8","Caulimoviridae",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Chrysoviridae",6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Flaviviridae",9,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1
"11","Herpesviridae",24359,10,7,24240,3,4,3,3,5,5,2,33,9,3,0,6,3,6,3,2,0,0,2,3,6,1
"12","Iflaviridae",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Iridoviridae",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"14","Lipothrixviridae",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Luteoviridae",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Marseilleviridae",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Mimiviridae",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"18","Myoviridae",10,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0
"19","Nimaviridae",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"20","Other dsDNA Viruses",14,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"21","Other Phages",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22","Other ssRNA negative viruses",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Other Viruses (unclassified)",54,2,0,0,2,0,0,1,0,0,0,1,5,39,0,0,0,2,1,0,0,0,0,0,1,0
"24","Pandoraviridae ",40,1,5,0,0,1,0,3,2,2,1,4,1,2,1,1,5,1,1,1,0,1,3,3,1,0
"25","Papillomaviridae",947,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,931,0,1,0,0,0
"26","Paramyxoviridae",8,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"27","Partitiviridae",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Phycodnaviridae",55,2,10,2,5,3,0,2,2,1,1,1,3,1,2,2,0,0,4,0,1,0,4,3,6,0
"29","Picobirnaviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"30","Picornaviridae",1483,12,16,1269,11,15,8,10,6,15,14,0,12,7,8,13,8,7,8,5,4,4,12,5,9,5
"31","Podoviridae",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"32","Polydnaviridae",93,0,7,5,5,4,4,3,2,5,3,8,4,1,0,6,10,0,1,1,6,1,14,1,1,1
"33","Potyviridae",11,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
"34","Poxviridae",6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
"35","Reoviridae",155,0,1,0,5,20,4,2,2,1,0,0,4,1,2,2,0,1,2,3,17,0,2,84,0,2
"36","Retroviridae",2742,0,0,17,9,3,0,5,1,3,0,2359,13,0,3,0,143,2,15,0,2,1,1,0,159,6
"37","Siphoviridae",24,1,1,0,2,0,0,0,0,0,0,10,4,0,0,0,1,0,3,0,0,0,1,0,1,0
"38","Virgaviridae",6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
