"","variable","glm.eBH","kw.eBH"
"1","t16",0.677416233034819,0.809717047612318
"2","t18",0.457087325200419,0.630344165504171
"3","t26",0.379661267134853,0.65703481800389
"4","t33",0.520206621718616,0.80712719796883
"5","t35",0.0108745834899825,0.610108148815147
"6","t42",0.805913921517506,0.81374580081114
"7","t45",0.410788227326583,0.626504026943999
"8","t51",0.566279382237366,0.813779885741046
"9","t52",0.032566410182563,0.648894011713189
"10","t53",0.116756660519477,0.634171510489144
"11","t54",0.4809679138954,0.797849641069679
"12","t56",0.0905517558299962,0.792883440344952
"13","t61",0.725308805102625,0.848781715967184
"14","t62",0.703980459798206,0.846091694096158
"15","t66",0.285703863796042,0.760654994493921
"16","t67",0.0454253669479141,0.683856178503394
"17","t68",0.418661837809958,0.627396417200791
"18","t70",0.725789533087268,0.880324625790108
"19","t71",0.795659781345648,0.66285604616419
"20","t72",0.061298968295514,0.635778019927791
"21","t73",0.421600664143172,0.620881748673871
"22","t81",0.765727559006302,0.803003424462089
"23","t83",0.00287541579639838,0.658999502123113
"24","t84",0.17168845714182,0.80469017942104
"25","t89",0.363665926133322,0.659267885393188
"26","Number.of.Different.HPV.Types",0.196500463440252,0.856512654946492
"27","Med.Duration",0.000466016169874749,0.76502380475095
"28","Is.the.patient.antiretroviral.naive.",0.631106392410393,0.686007950537479
"29","HIV.Clade...Result",0.21875753832926,0.87756834963164
"30","Likely.mode.of.HIV.acquisition",0.237865257929112,0.880016553116423
"31","Duration.of.HIV.Infection.",0.000400566220713558,0.774503890875375
"32","CD4.Nadir.",4.75436917521665e-05,0.772890740925277
"33","Highest.VL.Ever..",0.000355437300570323,0.781631343104216
"34","CD4.",2.1995743628082e-12,0.731443432114666
"35","VL..copies.mL..",0.00192476227971407,0.82079794309742
"36","HCV.Antibody...Result",0.712738399772549,0.843356637854201
"37","HCV.PCR...Result",0.519768968831597,0.920823251770095
"38","HBV.sAb...Result",0.0543850613898069,0.885264444354877
"39","HBV.sAg...Result",0.572387427351006,0.88300162196879
"40","HBV.cAb...Result",0.488022825709639,0.886725745988873
"41","study_arm",0.632666383611702,0.701601530982928
