"","Virus_Groups","freq","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Adenoviridae",8109,21,6958,35,13,59,33,805,185
"2","Anelloviridae",10,0,1,2,0,6,0,1,0
"3","Baculoviridae",663,14,42,32,1,467,50,51,6
"4","Caudovirales",42,33,0,1,2,3,2,1,0
"5","dsDNA",540,24,50,71,21,194,118,49,13
"6","dsRNA",16,8,0,0,1,1,3,0,3
"7","Herpesviridae",2138,110,432,259,109,686,323,145,74
"8","Hytrosaviridae",7,0,0,0,0,5,1,1,0
"9","Lactobacillus_phage",514,37,0,0,0,0,1,475,1
"10","Myoviridae",1330,621,58,51,62,118,30,369,21
"11","negative_ssRNA",13,1,3,3,0,0,5,1,0
"12","Other_Phages",353,277,6,7,25,6,12,19,1
"13","Other_Viruses_unclassified",273,133,2,1,1,5,5,123,3
"14","Pandoraviridae",635,6,93,100,3,233,158,35,7
"15","Papillomaviridae",158682,156173,394,279,304,855,391,86,200
"16","Phycodnaviridae",4271,162,382,593,181,1121,469,1227,136
"17","Picornaviridae",522,104,20,0,2,0,10,45,341
"18","Podoviridae",26434,1467,10,21,4880,15,22,310,19709
"19","Polydnaviridae",1460,32,258,257,9,389,433,51,31
"20","Polyomaviridae",187,0,1,1,185,0,0,0,0
"21","positive_ssRNA",80,19,3,12,0,11,9,26,0
"22","Retroviridae",166,4,16,35,2,61,27,14,7
"23","Siphoviridae",10635,9433,11,62,316,22,12,767,12
"24","ssDNA",19,12,2,0,2,1,2,0,0
"25","Streptococcus_phage",134,134,0,0,0,0,0,0,0
