Participants,Actinobacteria sp.,Alloscardovia omnicolens,Atopobium vaginae,Bifidobacterium breve,Clostridia sp. BVAB2,Clostridium genomosp. BVAB3,Enterococcus rattus,Escherichia coli,Eukaryote,Gardnerella vaginalis Group A,Gardnerella vaginalis Group B,Gardnerella vaginalis Group C,Gardnerella vaginalis Group D,Klebsiella pneumoniae,Lactobacillus crispatus,Lactobacillus gasseri,Lactobacillus iners,Lactobacillus jensenii,Megasphaera sp. genomosp. type 1,Other Actinobacteria,Other Bacteria,Other Bacteroidetes,Other Bifidobacterium,Other Clostridium,Other Firmicutes,Other Lactobacillus,Other Prevotella,Other Proteobacteria,Other Streptococcus,Porphyromonas uenonis,Prevotella amnii,Prevotella timonensis,Pseudomonas putida,Streptococcus devriesei,Variovorax paradoxus
Vogue1A.01.004,0,34,1252,0,621,9708,0,0,0,60564,13569,82,188,0,3,4,1,2,9303,291,0,15,0,0,101,1,3389,16,218,555,3071,16820,0,0,1
Vogue1A.01.009,0,18,9,0,3,0,2,0,0,1698,2342,1812,2,0,46,231,209,3,0,4,0,2,0,0,6,1,0,2,4,0,0,0,0,0,1
Vogue1A.01.011,0,0,0,0,0,1,1,0,0,354,19,0,0,0,35,4217,3250,4645,2,14,0,0,0,0,18,379,0,2,21,0,3,27,0,0,4
Vogue1A.01.018,0,0,0,0,0,0,1,0,1,27,27,5,0,0,3,10,5448,1,0,15,0,1,0,0,12,5,0,182,17,0,0,0,58,0,80
Vogue1A.01.021,0,0,0,0,0,12,1,0,0,117,104,19,0,0,104,1,135,30,36,16,0,0,0,0,0,18,6,12,1,7,1,39,1,0,4
Vogue1A.01.024,0,0,0,0,0,1,3,0,11,45,3,0,0,0,1655,8,7,31,0,51,7,1,0,1,112,10,11,935,27,0,0,0,167,0,198
Vogue1A.01.034,0,0,2,0,5,1,0,0,7,20,163,13,0,0,1486,27,68,5,33,12,0,1,4,0,0,0,6,8,9,0,0,45,0,0,1
Vogue1A.01.035,0,1,14,0,4,12,0,0,0,17,1142,19,0,0,11,1,231,1,339,24,0,0,2,0,4,0,77,8,2,0,6,217,6,0,9
Vogue1A.01.037,0,2,164,0,30,1950,0,0,0,3293,818,21,14,0,48,0,7,1,524,73,1,2,0,0,16,0,210,0,39,1,0,16,0,0,0
Vogue1A.01.039,0,0,0,2,1,0,0,0,0,390,6,0,0,0,400,6650,11508,5794,0,22,1,40,0,1,35,221,5,3,101,0,0,9,0,0,0
