"","diag.slope100.","diag.slope10.","diag.slope1.","diag.slope5."
"1",9.85701245133971e-05,NA,NA,NA
"2",0.0126343047376359,NA,NA,NA
"3",0.00477698486402572,NA,NA,NA
"4",0.0249329646483155,NA,NA,NA
"5",0.00163934764795743,NA,NA,NA
"6",0.0069754246209943,NA,NA,NA
"7",0.010094241516752,NA,NA,NA
"8",0.011051174386502,NA,NA,NA
"9",0.000689774961481078,NA,NA,NA
"10",5.45849372037582e-06,NA,NA,NA
"11",0.00486669704907932,NA,NA,NA
"12",0.00239516618983144,NA,NA,NA
"13",0.00010811968749215,NA,NA,NA
"14",2.42425816741026e-05,NA,NA,NA
"15",0.0135668467254649,NA,NA,NA
"16",0.00266055072737498,NA,NA,NA
"17",0.00874024660309216,NA,NA,NA
"18",0.00776870924690675,NA,NA,NA
"19",0.0209020694599177,NA,NA,NA
"20",0.0023995171686366,NA,NA,NA
"21",0.00121108527897703,NA,NA,NA
"22",NA,9.52286476011432e-05,NA,NA
"23",NA,0.0113694654664794,NA,NA
"24",NA,0.00432656015709165,NA,NA
"25",NA,0.0206957351714057,NA,NA
"26",NA,0.00163820263332053,NA,NA
"27",NA,0.00605574748097149,NA,NA
"28",NA,0.00923479252766369,NA,NA
"29",NA,0.0106335672990816,NA,NA
"30",NA,0.000688009184975893,NA,NA
"31",NA,5.45789793692359e-06,NA,NA
"32",NA,0.00469956931237157,NA,NA
"33",NA,0.00173447569390193,NA,NA
"34",NA,0.000107599167900062,NA,NA
"35",NA,2.42382631260778e-05,NA,NA
"36",NA,0.0118893554764466,NA,NA
"37",NA,0.00258451011450025,NA,NA
"38",NA,0.00486088954138807,NA,NA
"39",NA,0.00663864925516157,NA,NA
"40",NA,0.0181416526712515,NA,NA
"41",NA,0.00220517086909017,NA,NA
"42",NA,0.00118074446408278,NA,NA
"43",NA,NA,9.49036744817502e-05,NA
"44",NA,NA,0.0112429819198822,NA
"45",NA,NA,0.00428495157680489,NA
"46",NA,NA,0.0206612999096946,NA
"47",NA,NA,0.0016381933453024,NA
"48",NA,NA,0.00597461459350728,NA
"49",NA,NA,0.0091509960955655,NA
"50",NA,NA,0.0105923073396629,NA
"51",NA,NA,0.000687835145922963,NA
"52",NA,NA,5.45783835906689e-06,NA
"53",NA,NA,0.00468811274098375,NA
"54",NA,NA,0.00167153879683188,NA
"55",NA,NA,0.000107547119158164,NA
"56",NA,NA,2.42378314967584e-05,NA
"57",NA,NA,0.0117493648306302,NA
"58",NA,NA,0.00258398149599805,NA
"59",NA,NA,0.00457144644324764,NA
"60",NA,NA,0.00654130066976039,NA
"61",NA,NA,0.0179730900464733,NA
"62",NA,NA,0.0021860580678165,NA
"63",NA,NA,0.00117774535310199,NA
"64",NA,NA,NA,9.50478980214502e-05
"65",NA,NA,NA,0.0112991968294833
"66",NA,NA,NA,0.0043033690104907
"67",NA,NA,NA,0.0206678726152521
"68",NA,NA,NA,0.00163819511627568
"69",NA,NA,NA,0.00601046495083957
"70",NA,NA,NA,0.00918823394294945
"71",NA,NA,NA,0.0106106450304022
"72",NA,NA,NA,0.000687912438625824
"73",NA,NA,NA,5.45786483878047e-06
"74",NA,NA,NA,0.00469308737247368
"75",NA,NA,NA,0.00169943966230798
"76",NA,NA,NA,0.000107570251925808
"77",NA,NA,NA,2.42380233351164e-05
"78",NA,NA,NA,0.0118111083058748
"79",NA,NA,NA,0.00258408151762517
"80",NA,NA,NA,0.00469790546056438
"81",NA,NA,NA,0.00658429197328824
"82",NA,NA,NA,0.0180462765250128
"83",NA,NA,NA,0.0021945518665732
"84",NA,NA,NA,0.00117907749242817
