"","diag.slope100.","diag.slope10.","diag.slope1.","diag.slope5."
"1",0.000993411353937646,NA,NA,NA
"2",5.49927783445748e-06,NA,NA,NA
"3",0.00388464450740601,NA,NA,NA
"4",0.00282620603145184,NA,NA,NA
"5",0.000712111760800484,NA,NA,NA
"6",0.00021598998117761,NA,NA,NA
"7",0.00035960301164439,NA,NA,NA
"8",0.00192055290608335,NA,NA,NA
"9",0.00217733117350429,NA,NA,NA
"10",0.000668442414917851,NA,NA,NA
"11",0.00469974301627298,NA,NA,NA
"12",2.59726257783744e-06,NA,NA,NA
"13",0.000333835553120738,NA,NA,NA
"14",0.00259945608091852,NA,NA,NA
"15",0.000576064161841263,NA,NA,NA
"16",1.04290514391993e-05,NA,NA,NA
"17",4.07302946652039e-05,NA,NA,NA
"18",0.000200439886276884,NA,NA,NA
"19",4.75230409109279e-05,NA,NA,NA
"20",0.00231417338211842,NA,NA,NA
"21",2.77904968134051e-06,NA,NA,NA
"22",0.00378684617652476,NA,NA,NA
"23",0.00168296278854286,NA,NA,NA
"24",0.00120088534059462,NA,NA,NA
"25",0.00418261097017785,NA,NA,NA
"26",NA,0.000985963235534715,NA,NA
"27",NA,5.49867313810908e-06,NA,NA
"28",NA,0.0034266228256744,NA,NA
"29",NA,0.0025361805058563,NA,NA
"30",NA,0.000706185788311998,NA,NA
"31",NA,0.000215467890904786,NA,NA
"32",NA,0.000353516137994927,NA,NA
"33",NA,0.00190244547231303,NA,NA
"34",NA,0.00217729395738329,NA,NA
"35",NA,0.000658705850537755,NA,NA
"36",NA,0.00449264946694823,NA,NA
"37",NA,2.59695909528031e-06,NA,NA
"38",NA,0.000333424083614557,NA,NA
"39",NA,0.00246178437334152,NA,NA
"40",NA,0.000576036883038761,NA,NA
"41",NA,1.04290511713465e-05,NA,NA
"42",NA,4.05819414069436e-05,NA,NA
"43",NA,0.000200381210287936,NA,NA
"44",NA,4.75230317745003e-05,NA,NA
"45",NA,0.00224694835489388,NA,NA
"46",NA,2.77870207942958e-06,NA,NA
"47",NA,0.00359984769800959,NA,NA
"48",NA,0.00168255772812487,NA,NA
"49",NA,0.00118509557041982,NA,NA
"50",NA,0.00369218615441415,NA,NA
"51",NA,NA,0.000985260524311135,NA
"52",NA,NA,5.49861266693796e-06,NA
"53",NA,NA,0.00338091755792233,NA
"54",NA,NA,0.0025078372370392,NA
"55",NA,NA,0.000705622947842221,NA
"56",NA,NA,0.000215415685073807,NA
"57",NA,NA,0.00035295157663822,NA
"58",NA,NA,0.00190063885232886,NA
"59",NA,NA,0.00217729393469556,NA
"60",NA,NA,0.000657732471765963,NA
"61",NA,NA,0.00449102470399078,NA
"62",NA,NA,2.59692874629903e-06,NA
"63",NA,NA,0.000333383227631983,NA
"64",NA,NA,0.0024496470710487,NA
"65",NA,NA,0.000576036866365455,NA
"66",NA,NA,1.04290511659216e-05,NA
"67",NA,NA,4.05671284677887e-05,NA
"68",NA,NA,0.000200380725386066,NA
"69",NA,NA,4.75230316953931e-05,NA
"70",NA,NA,0.00224121073784118,NA
"71",NA,NA,2.7786673328096e-06,NA
"72",NA,NA,0.00358503447235849,NA
"73",NA,NA,0.00168255748747631,NA
"74",NA,NA,0.00118351951052804,NA
"75",NA,NA,0.00364431525629066,NA
"76",NA,NA,NA,0.000985571902013724
"77",NA,NA,NA,5.49863954373148e-06
"78",NA,NA,NA,0.00340123099474286
"79",NA,NA,NA,0.00252041918493932
"80",NA,NA,NA,0.000705872427053984
"81",NA,NA,NA,0.00021543888765995
"82",NA,NA,NA,0.00035320148490753
"83",NA,NA,NA,0.00190144178522102
"84",NA,NA,NA,0.0021772939361374
"85",NA,NA,NA,0.000658165083878889
"86",NA,NA,NA,0.00449133474565428
"87",NA,NA,NA,2.59694223507401e-06
"88",NA,NA,NA,0.000333401379242806
"89",NA,NA,NA,0.00245500769183086
"90",NA,NA,NA,0.000576036867422348
"91",NA,NA,NA,1.0429051159426e-05
"92",NA,NA,NA,4.05737114848996e-05
"93",NA,NA,NA,0.000200380817941593
"94",NA,NA,NA,4.75230317114807e-05
"95",NA,NA,NA,0.00224373917193783
"96",NA,NA,NA,2.77868277578661e-06
"97",NA,NA,NA,0.00359152995226988
"98",NA,NA,NA,0.00168255750267996
"99",NA,NA,NA,0.00118421997453662
"100",NA,NA,NA,0.00366556728358242
