"","diag.slope100.","diag.slope10.","diag.slope1.","diag.slope5."
"1",0.000105087848636956,NA,NA,NA
"2",0.0103701221660666,NA,NA,NA
"3",0.0449197156583539,NA,NA,NA
"4",0.00723497673392762,NA,NA,NA
"5",0.00505344589213212,NA,NA,NA
"6",0.0495305911229518,NA,NA,NA
"7",0.00729242363837074,NA,NA,NA
"8",0.000501133981079395,NA,NA,NA
"9",NA,0.000105021870546539,NA,NA
"10",NA,0.00951681916855833,NA,NA
"11",NA,0.0304552643290055,NA,NA
"12",NA,0.00629602962621916,NA,NA
"13",NA,0.00483019480392619,NA,NA
"14",NA,0.0406545983003574,NA,NA
"15",NA,0.00696424930309396,NA,NA
"16",NA,0.000499767725564602,NA,NA
"17",NA,NA,0.000105015305342046,NA
"18",NA,NA,0.00943829447560956,NA
"19",NA,NA,0.0292624310065941,NA
"20",NA,NA,0.00621039629687531,NA
"21",NA,NA,0.00480887235859278,NA
"22",NA,NA,0.0398566519964546,NA
"23",NA,NA,0.00693331795925974,NA
"24",NA,NA,0.000499632770782501,NA
"25",NA,NA,NA,0.000105018222466315
"26",NA,NA,NA,0.00947304481594264
"27",NA,NA,NA,0.0297880141690192
"28",NA,NA,NA,0.00624828305864166
"29",NA,NA,NA,0.00481832664039759
"30",NA,NA,NA,0.0402096845459924
"31",NA,NA,NA,0.00694702286731009
"32",NA,NA,NA,0.000499692712570982
