Human papillomavirus type 56,Human papillomavirus type 56
unclassified Coccolithovirus,Coccolithovirus
Coccolithovirus,Coccolithovirus
Adenoviridae,Adenoviridae
Alloherpesviridae,dsDNA
Alphaflexiviridae,positive_ssRNA
Ampullaviridae,Other_Phages
Anelloviridae,Anelloviridae
Arteriviridae,positive_ssRNA
Ascoviridae,dsDNA
Astroviridae,positive_ssRNA
Baculoviridae,Baculoviridae
Bicaudaviridae,Other_Phages
Caliciviridae,positive_ssRNA
Caudovirales,Caudovirales
Caulimoviridae,dsDNA_RT
Chrysoviridae,dsRNA
Circoviridae,ssDNA
Coronaviridae,positive_ssRNA
Endornaviridae,dsRNA
Flaviviridae,positive_ssRNA
Fuselloviridae,Other_Phages
Hepadnaviridae,dsDNA_RT
Hepeviridae,positive_ssRNA
Herpesviridae,Herpesviridae
Hytrosaviridae,dsDNA
Iflaviridae,positive_ssRNA
Inoviridae,Other_Phages
Iridoviridae,dsDNA
Lipothrixviridae,Other_Phages
Luteoviridae,positive_ssRNA
Marseilleviridae,dsDNA
Microviridae,Other_Phages
Mimiviridae,Mimiviridae
Myoviridae,dsDNA
Nimaviridae,dsDNA
Nudiviridae,dsDNA
Other dsDNA viruses,dsDNA
Other Phages,Other_Phages
Other ssDNA viruses,ssDNA
Other ssRNA negative-strand viruses,negative_ssRNA
Other ssRNA positive-strand viruses,positive_ssRNA
Other Viruses,Other_Viruses_unclassified
Papillomaviridae,Papillomaviridae
Parvoviridae,ssDNA
Phycodnaviridae,Phycodnaviridae
Picornaviridae,Picornaviridae
Podoviridae,Podoviridae
Polydnaviridae,Polydnaviridae
Polyomaviridae,Polyomaviridae
Potyviridae,positive_ssRNA
Poxviridae,dsDNA
Reoviridae,dsRNA
Retroviridae,Retroviridae
Secoviridae,positive_ssRNA
Siphoviridae,Siphoviridae
Tombusviridae,positive_ssRNA
Totiviridae,dsRNA
Turriviridae,dsDNA
Tymoviridae,positive_ssRNA
Virgaviridae,positive_ssRNA
