Viral_NCBI_code,Viral_Family
10239,Other Viruses
10243,Poxviridae
10298,Herpesviridae
10366,Herpesviridae
10370,Herpesviridae
10375,Herpesviridae
10376,Herpesviridae
10398,Herpesviridae
10492,Iridoviridae
10566,Papillomaviridae
10580,Papillomaviridae
10585,Papillomaviridae
10590,Papillomaviridae
10593,Papillomaviridae
10596,Papillomaviridae
10699,Siphoviridae
11775,Retroviridae
12059,Picornaviridae
12333,Other Phages
28883,Caudovirales
31552,Papillomaviridae
33769,Other Phages
35237,Other dsDNA viruses
35270,Retroviridae
35278,Other ssRNA positive-strand viruses
35342,Other ssDNA viruses
37114,Papillomaviridae
37115,Papillomaviridae
37119,Papillomaviridae
38018,Other Phages
39457,Papillomaviridae
44028,Papillomaviridae
45455,Herpesviridae
46924,Adenoviridae
51368,Other dsDNA viruses
51369,Siphoviridae
79205,Other Phages
79700,Herpesviridae
82830,Herpesviridae
102294,Caudovirales
104664,Alphaflexiviridae
120686,Papillomaviridae
128706,Other dsDNA viruses
129861,Other Phages
130310,Adenoviridae
139871,Other Phages
146015,Herpesviridae
148339,Other Phages
151340,Papillomaviridae
153135,Retroviridae
181083,Phycodnaviridae
181217,Phycodnaviridae
186616,Other Viruses
186617,Other Viruses
196894,Siphoviridae
196896,Myoviridae
202250,Papillomaviridae
251749,Phycodnaviridae
265522,Polydnaviridae
278008,Other Phages
306552,Other Phages
322019,Phycodnaviridae
329157,Podoviridae
331278,Myoviridae
333754,Papillomaviridae
333763,Papillomaviridae
333772,Papillomaviridae
334523,Other Phages
337050,Papillomaviridae
340016,Other Viruses
346673,Phycodnaviridae
350104,Other Phages
359919,Baculoviridae
372443,Phycodnaviridae
396034,Caudovirales
444878,Caudovirales
447909,Other Phages
496874,Siphoviridae
558016,Baculoviridae
558017,Baculoviridae
573173,Other Phages
573174,Other Phages
687329,Anelloviridae
702718,Other ssDNA viruses
735496,Papillomaviridae
743582,Other Phages
749413,Other Phages
754004,Turriviridae
754044,Other Phages
754057,Other Phages
754068,Other dsDNA viruses
755272,Other dsDNA viruses
755273,Other dsDNA viruses
756277,Other Phages
764030,Adenoviridae
870469,Other Phages
870471,Other Phages
870475,Other Phages
911573,Caudovirales
931209,Papillomaviridae
942165,Podoviridae
980881,Other Phages
1034805,Other Viruses
1051631,Siphoviridae
1084719,Myoviridae
1109714,Other Phages
1127491,Circoviridae
1128131,Mimiviridae
1168812,Other Phages
1168813,Other Phages
1168837,Other Phages
1168843,Other Phages
1194091,Podoviridae
1211387,Other Phages
1211417,Other Phages
1273746,Other dsDNA viruses
1273755,Other dsDNA viruses
1278246,Phycodnaviridae
1289595,Other Phages
1289600,Other Phages
1298531,Fuselloviridae
1303346,Other Phages
1307956,Baculoviridae
1325731,Other Phages
1349409,Other dsDNA viruses
1349410,Other dsDNA viruses
1354512,Siphoviridae
1391034,Other Viruses
1391455,Other Phages
1392231,Other Phages
1399941,Siphoviridae
1416334,Myoviridae
1421422,Phycodnaviridae
1421424,Phycodnaviridae
1425358,Other Viruses
1434988,Papillomaviridae
1448276,Other Phages
1449437,Other Phages
1450746,Other dsDNA viruses
1468179,Other Phages
1518022,Siphoviridae
1535248,Other ssRNA positive-strand viruses
1537164,Other ssDNA viruses
1537166,Other ssDNA viruses
1567011,Other Phages
1567012,Other Phages
1567014,Other Phages
1597976,Myoviridae
1605721,Other dsDNA viruses
1608100,Other ssRNA negative-strand viruses
1610831,Myoviridae
1636270,Podoviridae
1640978,Other Phages
