Adenoviridae,Adenoviridae
Anelloviridae,Anelloviridae
Baculoviridae,Baculoviridae
Caulimoviridae,dsDNA_RT
Hepadnaviridae,dsDNA_RT
Herpesviridae,Herpesviridae
Mimiviridae,Mimiviridae
Myoviridae,Myoviridae
Rhabdoviridae,Negative_ssRNA Viruses
Alloherpesviridae,Other dsDNA Viruses
Ascoviridae,Other dsDNA Viruses
Hytrosaviridae,Other dsDNA Viruses
Iridoviridae,Other dsDNA Viruses
Marseilleviridae,Other dsDNA Viruses
Nimaviridae,Other dsDNA Viruses
Nudiviridae,Other dsDNA Viruses
Other dsDNA Viruses,Other dsDNA Viruses
Chrysoviridae,Other dsRNA Viruses
Reoviridae,Other dsRNA Viruses
Totiviridae,Other dsRNA Viruses
Ampullaviridae,Other Phages
Bicaudaviridae,Other Phages
Fuselloviridae,Other Phages
Lipothrixviridae,Other Phages
Other Phages,Other Phages
Alphaflexiviridae,Other Positive_ssRNA Viruses
Caliciviridae,Other Positive_ssRNA Viruses
Flaviviridae,Other Positive_ssRNA Viruses
Tombusviridae,Other Positive_ssRNA Viruses
Virgaviridae,Other Positive_ssRNA Viruses
Other ssRNA positive Viruses,Other Positive_ssRNA Viruses
Circoviridae,Other ssDNA Viruses
Parvoviridae,Other ssDNA Viruses
Other ssDNA Viruses,Other ssDNA Viruses
Other Viruses,Other Viruses
Papillomaviridae,Papillomaviridae
Phycodnaviridae,Phycodnaviridae
Picornaviridae,Picornaviridae
Podoviridae,Podoviridae
Polydnaviridae,Polydnaviridae
Polyomaviridae,Polyomaviridae
Poxviridae,Poxviridae
Retroviridae,Retroviridae
Siphoviridae,Siphoviridae
