1,1
10239,Other Viruses
10258,Orf virus
10279,Molluscum contagiosum virus
10280,Molluscum contagiosum virus
10292,Other Herpesviridae
10293,Other Herpesviridae
10298,Human herpesvirus 1
10310,Human herpesvirus 2
10317,Cercopithecine herpesvirus 2
10320,Bovine herpesvirus 1
10325,Macacine herpesvirus 1
10345,Suid herpesvirus 1
10353,Saimiriine herpesvirus 1
10358,Other Cytomegalovirus
10359,Human herpesvirus 5
10360,Human herpesvirus 5
10362,Human herpesvirus 5
10366,Murid herpesvirus 1
10368,Human herpesvirus 6
10370,Human herpesvirus 6A
10371,Equid herpesvirus 5
10374,Other Herpesviridae
10375,Other Lymphocryptovirus
10376,Human herpesvirus 4
10377,Human herpesvirus 4
10381,Saimiriine herpesvirus 2
10397,Tupaiid herpesvirus 1
10398,Ovine herpesvirus 2
10407,Hepatitis B virus
10449,Lymantria dispar multiple nucleopolyhedrovirus
10454,Spodoptera exigua multiple nucleopolyhedrovirus
10455,Spodoptera frugiperda multiple nucleopolyhedrovirus
10456,Spodoptera littoralis nucleopolyhedrovirus
10479,Thermoproteus tenax virus 1
10492,Other Ranavirus
10501,Other Phycodnaviridae
10508,Other Adenoviridae
10509,Other Mastadenovirus
10566,Human papillomavirus
10570,Alphapapillomavirus 12
10573,Alphapapillomavirus 10
10576,Alphapapillomavirus 10
10579,Betapapillomavirus 1
10580,Alphapapillomavirus 10
10585,Alphapapillomavirus 9
10586,Alphapapillomavirus 9
10587,Alphapapillomavirus 9
10588,Alphapapillomavirus 7
10590,Alphapapillomavirus 1
10591,Alphapapillomavirus 8
10593,Alphapapillomavirus 7
10594,Betapapillomavirus 1
10595,Alphapapillomavirus 5
10596,Alphapapillomavirus 6
10598,Alphapapillomavirus 9
10604,Betapapillomavirus 1
10605,Betapapillomavirus 1
10606,Betapapillomavirus 2
10608,Betapapillomavirus 1
10611,Alphapapillomavirus 6
10614,Alphapapillomavirus 2
10615,Alphapapillomavirus 8
10618,Alphapapillomavirus 9
10632,Human polyomavirus 2
10663,Other T4likevirus
10699,Other Siphoviridae
10724,Bacillus phage SPP1
10743,Phage 21
10744,Other Podoviridae
10747,Streptococcus phage Cp-1
10748,Streptococcus phage Cp-1
11095,Other Flaviviridae
11103,Hepatitis C virus
11652,Other Lentivirus
11676,Human immunodeficiency virus 1
11723,Simian immunodeficiency virus
11775,Feline leukemia virus
11786,Murine leukemia virus
11976,Rabbit hemorrhagic disease virus
12059,Other Enterovirus
12062,Enterovirus B
12067,Enterovirus B
12071,Enterovirus B
12072,Enterovirus B
12234,Other Tobamovirus
12242,Tobacco mosaic virus
12253,Tomato mosaic virus
12333,Other Phages
12348,Lactobacillus phage LL-H
12402,Streptococcus phage EJ-1
12417,Lactobacillus phage phiadh
12426,Salmonella phage 5
28278,Human mastadenovirus D
28358,Corynebacterium phage BFK20
28883,Other dsDNA Viruses
29250,Heliothis zea nudivirus
31535,Pseudomonas phage D3
31537,Lactococcus phage c2
31545,Human mastadenovirus D
31552,Alphapapillomavirus 10
32604,Human herpesvirus 6B
33706,Caviid herpesvirus 2
33769,Lactobacillus phage mv1
35237,Other dsDNA Viruses
35238,Mycoplasma phage P1
35244,Bovine herpesvirus 5
35265,Porcine mastadenovirus A
35270,Avian sarcoma virus
35294,Enterovirus B
35342,Other ssDNA Viruses
36352,Human herpesvirus 4
36355,Pseudaletia unipuncta granulovirus
37105,Lactobacillus phage JCL1032
37114,Alphapapillomavirus 10
37115,Alphapapillomavirus 7
37116,Alphapapillomavirus 3
37119,Alphapapillomavirus 6
37120,Alphapapillomavirus 9
37957,Betapapillomavirus 1
37959,Betapapillomavirus 2
38018,Other Phages
39457,Alphapapillomavirus 7
39640,Cotesia congregata bracovirus
39724,Circoviridae
40272,Other Roseolovirus
40539,Gammapapillomavirus 3
40631,Enterobacteria phage N15
44028,Alphapapillomavirus 10
44088,Canarypox virus
45101,Enterovirus B
45240,Alphapapillomavirus 7
45455,Macacine herpesvirus 4
45617,Human endogenous retrovirus K
46021,Paramecium bursaria Chlorella virus NY2A
46924,Human mastadenovirus D
46938,Human mastadenovirus D
47929,Macacine herpesvirus 3
50292,Cercopithecine herpesvirus 5
51033,Alphapapillomavirus 11
51368,Other dsDNA Viruses
51369,Lactobacillus phage A2
52979,Lactobacillus phage phig1e
59241,Streptococcus phage Dp-1
66261,Alphapapillomavirus 10
68887,Torque teno virus
73422,Streptococcus phage TP-J34
78219,Mamestra brassicae multiple nucleopolyhedrovirus
79700,Murid herpesvirus 2
79890,Bovine herpesvirus 1
82830,Human herpesvirus 4
85154,Streptococcus phage O1205
85618,Ateline herpesvirus 3
90410,Streptococcus phage DT1
93678,TTV-like mini virus
102294,Other dsDNA Viruses
104664,Indian citrus ringspot virus
106331,Callitrichine herpesvirus 3
106332,Papiine herpesvirus 1
108098,Human mastadenovirus B
110456,Other T7likevirus
111469,Human herpesvirus 8
112023,Streptococcus phage 7201
120381,Alphapapillomavirus 3
120686,Alphapapillomavirus 14
128706,Other dsDNA Viruses
129724,Alphapapillomavirus 5
129726,Pseudocowpox virus
129861,Phage Gifsy-1
129951,Human mastadenovirus C
130310,Human mastadenovirus D
136084,Roseobacter phage SIO1
136966,SEN virus
137443,Macropodid herpesvirus 1
138184,Alcelaphine herpesvirus 2
138949,Enterovirus B
139871,Lactobacillus prophage Lj771
