"","x"
"Vogue1A.01.61",1
"Vogue1A.01.106",1
"Vogue1B2.01.11",1
"Vogue1A.01.52",1
"Vogue1A.01.59",1
"Vogue1A.01.62",1
"Vogue1A.01.64",1
"Vogue1A.01.68",1
"Vogue1A.01.69",1
"Vogue1A.01.71",1
"Vogue1A.01.74",1
"Vogue1A.01.75",1
"Vogue1A.01.76",1
"Vogue1A.01.78",2
"Vogue1A.01.81",1
"Vogue1A.01.84",1
"Vogue1A.01.85",1
"Vogue1A.01.92",1
"Vogue1A.01.101",1
"Vogue1B.01.01",1
"Vogue1B.01.04",3
"Vogue1B.01.05",1
"Vogue1B.01.06",1
"Vogue1B.01.08",1
"Vogue1B.01.09",1
"Vogue1B.01.11",1
"Vogue1B.01.12",1
"Vogue1B.01.13",1
"Vogue1B.01.15",1
"Vogue1B.01.17",1
"Vogue1B.01.21",4
"Vogue1B.01.26",1
"Vogue1B.01.27",1
"Vogue1B.01.32",1
"Vogue1B.01.34",1
"Vogue1B.01.36",1
"Vogue1B.01.37",1
"Vogue1B.01.38",1
"Vogue1B.01.40",1
"Vogue1B.01.43",4
"Vogue1B.01.48",1
"Vogue1B.01.51",1
"Vogue1B.01.52",1
"Vogue1B2.01.06",1
"Vogue1B2.01.07",1
"Vogue1B2.01.08",1
"Vogue1B2.01.09",1
"Vogue1B2.01.10",1
"Vogue1B2.01.12",1
"Vogue1B2.01.15",1
"Vogue1A.01.65",1
"Vogue1A.01.70",1
"Vogue1A.01.77",1
"Vogue1B.01.03",1
