"","Viruses","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"1","Adenoviridae",15,9,76,47,23,31,19,23,15,25,27,10,196,13,8,20,21,5,21,17,23
"2","Anelloviridae",8,1,0,1,32,32,1,6,0,1,0,0,1,0,0,332,0,0,0,0,0
"3","Baculoviridae",4,0,8,5,4,1,5,7,0,9,1,2,9,4,1,8,11,6,3,9,2
"4","dsDNA_RT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
"5","Herpesviridae",61,12,99,83,82,239,83,105,39,93,67,80,835,76,33,45,82,23,52,59,80
"6","Mimiviridae",44,52,2,0,0,0,0,0,1,0,1,6,41,2,1,1,1,0,1,33,6
"7","Myoviridae",37,23,89,7,23,9,17,16,55,20,17,77,339,21,8,179,43,12307,499,62,19
"8","Other dsDNA Viruses",124,3,38,12,32,23,23,34,7,22,26,11,331,10,3,70,42,6,20,26,27
"9","Other dsRNA Viruses",3,0,0,4,0,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"10","Other Phages",42,37,1,20,0,0,2,2,4,10,6,10,341,11,2,7,47,7,2,0,1
"11","Other Positive_ssRNA Viruses",6,1,3,1,3,73,3,1,1,0,1,2,22,2,3,81,5,0,1,2,1
"12","Other ssDNA Viruses",0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,1,1,5
"13","Other Viruses",10,9,5,3,2,2,0,0,0,2,1,36,940,0,1,37,2,94,12,1,2
"15","Phycodnaviridae",162,73,218,226,171,139,78,164,103,117,129,161,434,70,65,285,229,22,110,143,132
"16","Picornaviridae",5,10,72,3,9,5,3,4,2,6,4,5,1,2,1,0,6,1,2792,1,1
"17","Podoviridae",10,16,252,23,17,3,8,27,3,8,5,210,873,5,574,705,16,14,3429,3,33
"18","Polydnaviridae",29,3,21,6,25,15,16,27,3,16,20,5,168,10,2,43,31,4,23,34,42
"19","Polyomaviridae",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20","Poxviridae",1,1,150,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"21","Retroviridae",6,1,14,3,21,6,7,5,4,7,13,1,25,3,1,3,13,6,5,10,6
"22","Siphoviridae",36,10,391,212,48,0,9,22,911,6,76,78,6667,3,48,74,465,18122,834,7,13
