"","Viruses","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Adenoviridae",8,801,9,5,16,10,59,22
"2","Baculoviridae",5,2,2,23,766,1,5,0
"3","Herpesviridae",35,170,60,31,138,86,22,24
"4","Mimiviridae",2,0,2,49,2,6,8,3
"5","Myoviridae",622,3,11,83,115,6,334,12
"6","Other dsDNA Viruses",34,18,19,2,157,41,10,3
"7","Other Phages",908,0,1,1,0,0,412,3
"8","Other Positive_ssRNA Viruses",6,1,2,0,1,1,9,0
"9","Other ssDNA Viruses",7,0,0,0,0,0,0,0
"10","Other Viruses",44,0,1,51,0,1,153,2
"12","Phycodnaviridae",18,48,101,112,1222,46,238,35
"13","Picornaviridae",36,5,0,4,0,2,15,10
"14","Podoviridae",1053,4,3,194,4,4,10,19798
"15","Polydnaviridae",3,25,38,1,41,53,3,5
"16","Polyomaviridae",0,0,0,160,0,0,0,0
"17","Retroviridae",0,2,2,0,5,1,3,3
"18","Siphoviridae",6545,4,49,282,12,2,840,7
