"","uid","name","rank"
"1","1","root","no rank"
"2","10239","Viruses","superkingdom"
"3","10258","Orf virus","species"
"4","10279","Molluscum contagiosum virus","species"
"5","10280","Molluscum contagiosum virus subtype 1","no rank"
"6","10292","Herpesviridae","family"
"7","10293","Alphaherpesvirinae","subfamily"
"8","10298","Human herpesvirus 1","species"
"9","10310","Human herpesvirus 2","species"
"10","10317","Cercopithecine herpesvirus 2","species"
"11","10320","Bovine herpesvirus 1","species"
"12","10325","Macacine herpesvirus 1","species"
"13","10345","Suid herpesvirus 1","species"
"14","10353","Saimiriine herpesvirus 1","species"
"15","10358","Cytomegalovirus","genus"
"16","10359","Human herpesvirus 5","species"
"17","10360","Human herpesvirus 5 strain AD169","no rank"
"18","10362","Human herpesvirus 5 strain Eisenhardt","no rank"
"19","10366","Murid herpesvirus 1","species"
"20","10368","Human herpesvirus 6","species"
"21","10370","Human herpesvirus 6 (strain Uganda-1102)","no rank"
"22","10371","Equid herpesvirus 5","species"
"23","10374","Gammaherpesvirinae","subfamily"
"24","10375","Lymphocryptovirus","genus"
"25","10376","Human herpesvirus 4","species"
"26","10377","Human herpesvirus 4 (strain B95-8)","no rank"
"27","10381","Saimiriine herpesvirus 2","species"
"28","10397","Tupaiid herpesvirus 1","species"
"29","10398","Ovine herpesvirus 2","species"
"30","10407","Hepatitis B virus","species"
"31","10449","Lymantria dispar multiple nucleopolyhedrovirus","species"
"32","10454","Spodoptera exigua multiple nucleopolyhedrovirus","species"
"33","10455","Spodoptera frugiperda multiple nucleopolyhedrovirus","species"
"34","10456","Spodoptera littoralis nucleopolyhedrovirus","species"
"35","10479","Thermoproteus tenax virus 1","species"
"36","10492","Ranavirus","genus"
"37","10501","Phycodnaviridae","family"
"38","10508","Adenoviridae","family"
"39","10509","Mastadenovirus","genus"
"40","10566","Human papillomavirus","species"
"41","10570","Alphapapillomavirus 12","species"
"42","10573","Human papillomavirus type 13","no rank"
"43","10576","Pygmy chimpanzee papillomavirus type 1","no rank"
"44","10579","Human papillomavirus type 8","no rank"
"45","10580","Human papillomavirus type 11","no rank"
"46","10585","Human papillomavirus type 31","no rank"
"47","10586","Human papillomavirus type 33","no rank"
"48","10587","Human papillomavirus type 35","no rank"
"49","10588","Human papillomavirus type 39","no rank"
"50","10590","Human papillomavirus type 42","no rank"
"51","10591","Human papillomavirus type 43","no rank"
"52","10593","Human papillomavirus type 45","no rank"
"53","10594","Human papillomavirus type 47","no rank"
"54","10595","Human papillomavirus type 51","no rank"
"55","10596","Human papillomavirus type 56","no rank"
"56","10598","Human papillomavirus type 58","no rank"
"57","10604","Human papillomavirus type 12","no rank"
"58","10605","Human papillomavirus type 14","no rank"
"59","10606","Human papillomavirus type 15","no rank"
"60","10608","Human papillomavirus type 19","no rank"
"61","10611","Human papillomavirus type 30","no rank"
"62","10614","Human papillomavirus type 3","no rank"
"63","10615","Human papillomavirus type 40","no rank"
"64","10618","Human papillomavirus type 52","no rank"
"65","10632","JC polyomavirus","no rank"
"66","10663","T4likevirus","genus"
"67","10699","Siphoviridae","family"
"68","10724","Bacillus phage SPP1","species"
"69","10743","Phage 21","species"
"70","10744","Podoviridae","family"
"71","10747","Streptococcus phage Cp-1","species"
"72","10748","Streptococcus phage CP-7","no rank"
"73","11095","Pestivirus","genus"
"74","11103","Hepatitis C virus","species"
"75","11652","Primate lentivirus group","no rank"
"76","11676","Human immunodeficiency virus 1","species"
"77","11723","Simian immunodeficiency virus","species"
"78","11775","Feline sarcoma virus (STRAIN GARDNER-RASHEED)","no rank"
"79","11786","Murine leukemia virus","species"
"80","11976","Rabbit hemorrhagic disease virus","species"
"81","12059","Enterovirus","genus"
"82","12062","Echovirus E6","no rank"
"83","12067","Coxsackievirus A9","no rank"
"84","12071","Coxsackievirus B1","no rank"
"85","12072","Coxsackievirus B3","no rank"
"86","12234","Tobamovirus","genus"
"87","12242","Tobacco mosaic virus","species"
"88","12253","Tomato mosaic virus","species"
"89","12333","unclassified phages","no rank"
"90","12348","Lactobacillus phage LL-H","species"
"91","12402","Streptococcus phage EJ-1","species"
"92","12417","Lactobacillus phage phiadh","species"
"93","12426","Salmonella phage 5","species"
"94","28278","Human adenovirus 19","no rank"
"95","28358","Corynebacterium phage BFK20","species"
"96","28883","Caudovirales","order"
"97","29250","Heliothis zea nudivirus","species"
"98","31535","Pseudomonas phage D3","species"
"99","31537","Lactococcus phage c2","species"
"100","31545","Human adenovirus D8","no rank"
"101","31552","Human papillomavirus type 6","no rank"
"102","32604","Human herpesvirus 6B","species"
"103","33706","Caviid herpesvirus 2","species"
"104","33769","Lactobacillus phage mv1","species"
"105","35237","dsDNA viruses, no RNA stage","no rank"
"106","35238","Mycoplasma phage P1","species"
"107","35244","Bovine herpesvirus 5","species"
"108","35265","Porcine adenovirus 3","no rank"
"109","35270","Avian sarcoma virus 31","no rank"
"110","35294","Echovirus E2","no rank"
"111","35342","unclassified ssDNA viruses","no rank"
"112","36352","Human herpesvirus 4 type 1","no rank"
"113","36355","Pseudaletia unipuncta granulovirus","species"
"114","37105","Lactobacillus phage JCL1032","species"
"115","37114","Human papillomavirus type 55","no rank"
"116","37115","Human papillomavirus type 59","no rank"
"117","37116","Human papillomavirus type 61","no rank"
"118","37119","Human papillomavirus type 66","no rank"
"119","37120","Human papillomavirus type 67","no rank"
"120","37957","Human papillomavirus type 36","no rank"
"121","37959","Human papillomavirus type 38","no rank"
"122","38018","unidentified phage","species"
"123","39457","Human papillomavirus type 70","no rank"
"124","39640","Cotesia congregata bracovirus","species"
"125","39724","Circoviridae","family"
"126","40272","Roseolovirus","genus"
"127","40539","Human papillomavirus type 50","no rank"
"128","40631","Enterobacteria phage N15","species"
"129","44028","Human papillomavirus type 74","no rank"
"130","44088","Canarypox virus","species"
"131","45101","Echovirus E25","no rank"
"132","45240","Human papillomavirus type 68","no rank"
"133","45455","Macacine herpesvirus 4","species"
"134","45617","Human endogenous retrovirus K","species"
"135","46021","Paramecium bursaria Chlorella virus NY2A","species"
"136","46924","Human adenovirus 22","no rank"
"137","46938","Human adenovirus 43","no rank"
"138","47929","Macacine herpesvirus 3","species"
"139","50292","Cercopithecine herpesvirus 5","species"
"140","51033","Human papillomavirus type 73","no rank"
"141","51368","unclassified dsDNA viruses","no rank"
"142","51369","Lactobacillus phage A2","species"
"143","52979","Lactobacillus phage phig1e","species"
"144","59241","Streptococcus phage Dp-1","species"
"145","66261","Common chimpanzee papillomavirus 1","no rank"
"146","68887","Torque teno virus","species"
"147","73422","Streptococcus phage TP-J34","species"
