Adenoviridae,Adenoviridae
Alloherpesviridae,dsDNA
Alphaflexiviridae,positive_ssRNA
Ampullaviridae,Other_Phages
Anelloviridae,Anelloviridae
Ascoviridae,dsDNA
Asfarviridae,dsDNA
Astroviridae,positive_ssRNA
Baculoviridae,Baculoviridae
Betaflexiviridae,positive_ssRNA
Bicaudaviridae,Other_Phages
Bunyaviridae,negative_ssRNA
Caliciviridae,positive_ssRNA
Caudovirales,Caudovirales
Caulimoviridae,dsDNA_RT
Chrysoviridae,dsRNA
Circoviridae,ssDNA
Closteroviridae,positive_ssRNA
Coronaviridae,positive_ssRNA
Endornaviridae,dsRNA
Flaviviridae,positive_ssRNA
Fuselloviridae,Other_Phages
Hepadnaviridae,Hepadnaviridae
Hepeviridae,positive_ssRNA
Herpesviridae,Herpesviridae
Hytrosaviridae,Hytrosaviridae
Iflaviridae,positive_ssRNA
Inoviridae,Other_Phages
Iridoviridae,dsDNA
Lactobacillus phage,Lactobacillus_phage
Lipothrixviridae,Other_Phages
Luteoviridae,positive_ssRNA
Marseilleviridae,dsDNA
Microviridae,Other_Phages
Mimiviridae,dsDNA
Mycodnaviridae,ssDNA
Myoviridae,Myoviridae
Nimaviridae,dsDNA
Nodaviridae,positive_ssRNA
Nudiviridae,dsDNA
Other dsDNA Viruses,dsDNA
Other Phages,Other_Phages
Other ssDNA viruses,ssDNA
Other ssRNA negative viruses,negative_ssRNA
Other ssRNA positive viruses,positive_ssRNA
Other Viruses (unclassified),Other_Viruses_unclassified
Pandoraviridae,Pandoraviridae
Papillomaviridae,Papillomaviridae
Paramyxoviridae,negative_ssRNA
Partitiviridae,dsRNA
Parvoviridae,ssDNA
Phycodnaviridae,Phycodnaviridae
Picobirnaviridae,dsRNA
Picornaviridae,Picornaviridae
Podoviridae,Podoviridae
Polydnaviridae,Polydnaviridae
Polyomaviridae,Polyomaviridae
Potyviridae,positive_ssRNA
Poxviridae,dsDNA
Reoviridae,dsRNA
Retroviridae,Retroviridae
Rhabdoviridae,negative_ssRNA
Secoviridae,positive_ssRNA
Siphoviridae,Siphoviridae
Streptococcus phage,Streptococcus_phage
Togaviridae,positive_ssRNA
Tombusviridae,positive_ssRNA
Totiviridae,dsRNA
Turriviridae,dsDNA
Tymoviridae,positive_ssRNA
Vibrio phage,Other_Phages
Virgaviridae,Virgaviridae
