Viruses,Vogue1A.01.70,Vogue1A.01.84,Vogue1A.01.85,Vogue1B.01.05,Vogue1B.01.52,Vogue1B2.01.12
Adenoviridae,15,22,5,20,99,60
Anelloviridae,0,0,0,0,0,0
Baculoviridae,1,11,6,1,4,5
dsDNA_RT,0,0,0,0,0,0
Herpesviridae,39,83,23,71,8,23
Mimiviridae,1,3,2,2,0,8
Myoviridae,55,43,12307,72,104,335
Negative_ssRNA_Viruses,0,0,0,0,0,0
Other_dsDNA_Viruses,8,42,6,6,0,10
Other_dsRNA_Viruses,1,0,0,0,0,0
Other_Phages,4,47,9,2,5,414
Other_Positive_ssRNA_Viruses,1,5,0,0,27,9
Other_ssDNA_Viruses,0,0,0,0,0,0
Other_Viruses,0,2,94,14,0,153
Papillomaviridae,154,231,293,147,63,43
Phycodnaviridae,103,230,22,134,236,238
Picornaviridae,2,6,1,7,29,16
Podoviridae,3,16,14,6,134,10
Polydnaviridae,3,31,4,12,1,3
Polyomaviridae,0,0,0,0,0,0
Poxviridae,0,2,0,0,0,0
Retroviridae,4,13,6,8,7,3
Siphoviridae,912,466,18125,378,1064,840
