"","X","t.aa."
"1","Vogue1A.01.61",94
"2","Vogue1A.01.106",67
"3","Vogue1B2.01.11",58
"4","Vogue1A.01.52",87
"5","Vogue1A.01.59",56
"6","Vogue1A.01.62",71
"7","Vogue1A.01.64",85
"8","Vogue1A.01.71",69
"9","Vogue1A.01.75",72
"10","Vogue1A.01.76",130
"11","Vogue1A.01.78",51
"12","Vogue1A.01.81",95
"13","Vogue1A.01.84",82
"14","Vogue1A.01.85",53
"15","Vogue1A.01.92",84
"16","Vogue1B.01.01",91
"17","Vogue1B.01.04",39
"18","Vogue1B.01.05",63
"19","Vogue1B.01.06",108
"20","Vogue1B.01.08",74
"21","Vogue1B.01.09",48
"22","Vogue1B.01.11",92
"23","Vogue1B.01.12",98
"24","Vogue1B.01.13",68
"25","Vogue1B.01.15",76
"26","Vogue1B.01.17",74
"27","Vogue1B.01.21",84
"28","Vogue1B.01.26",88
"29","Vogue1B.01.27",79
"30","Vogue1B.01.32",50
"31","Vogue1B.01.34",100
"32","Vogue1B.01.36",135
"33","Vogue1B.01.37",86
"34","Vogue1B.01.38",87
"35","Vogue1B.01.40",85
"36","Vogue1B.01.43",85
"37","Vogue1B.01.51",57
"38","Vogue1B.01.52",42
"39","Vogue1B2.01.06",130
"40","Vogue1B2.01.07",44
"41","Vogue1B2.01.08",57
"42","Vogue1B2.01.09",54
"43","Vogue1B2.01.10",79
"44","Vogue1B2.01.12",65
"45","Vogue1B2.01.15",37
"46","Vogue1A.01.65",63
"47","Vogue1A.01.68",67
"48","Vogue1A.01.69",62
"49","Vogue1A.01.70",61
"50","Vogue1A.01.74",70
"51","Vogue1A.01.77",70
"52","Vogue1A.01.101",65
"53","Vogue1B.01.03",68
"54","Vogue1B.01.48",92
