"","variable","glm.eBH","kw.eBH"
"1","CST",0.687836947773024,0.936077394146835
"2","age",2.11190072747419e-16,0.706104420283135
"3","bmi",2.80649403620119e-20,0.685610512843563
"4","Age.cat",0.801787778231336,0.862187604762635
"5","BMI.under.cat",0.518941297244411,0.885506666391625
"6","BMI.over.cat",0.737635845969547,0.791442752269922
"7","Ethnicity.cat",0.826596303068548,0.851042497617448
"8","Ethnicity2.cat",0.538162819781988,0.893376370491047
"9","bv_life",0.358459989571054,0.88633172734915
"10","bv_infecttotal_1yr",0.34133188590103,0.861201671325496
"11","bv_infecttotal_2mo",0.14609117967853,0.859825471883049
"12","BV.ever",0.812149867896742,0.876476693078396
"13","Yeast.ever",0.854742544674031,0.919814521730173
"14","UTI.ever",0.762662504438318,0.915381391449326
"15","Trich.ever",0.759385463555423,0.887591641140565
"16","Condyloma.ever",0.826003028997943,0.887508176371346
"17","GenHerpes.ever",0.556752241393943,0.913504267578432
"18","Chlamydia.ever",0.806767587775089,0.841271474845958
"19","Gonorrhea.ever",0.875669481636417,0.898170919459871
"20","Syphillis.ever",0.0298308626298504,0.708134635545105
"21","Presence.Symptoms.2wks",0.781538238252459,0.71935076185144
"22","Presence.Symptoms.48hrs",0.826195430045206,0.845124826738549
"23","Symptom.pain",0.671120191301813,0.617633037893553
"24","oralsxfrequency.cat",0.744693508132117,0.897835594027482
"25","analsxfrequency.cat",0.663002857392056,0.821866559773044
"26","sextoyfrequency.cat",0.844961899785527,0.900103626644235
"27","sexpartner1yr.cat",0.77872043896534,0.897439817402937
"28","sexpartner2mo.cat",0.876703012200654,0.925496274092405
"29","Contraception.H",0.861324611608977,0.89663703233896
"30","Contraception.B.M",0.798635827431979,0.87237425704469
"31","Contraception.IUD",0.36225035710191,0.735449176452494
"32","Contraception.none",0.829994179043066,0.932376138009608
"33","condoms.48h",0.686344041961695,0.849143481664284
"34","Pregnancy.cat",0.44953165069451,0.675015271871971
"35","Feminine.products",0.843366473316531,0.887084037157138
"36","Feminine.products.48hrs",0.867383017347738,0.877168446613616
"37","Tampon.Use.cat",0.848277317903194,0.903516563610425
"38","days.since.LMP",0.000133149770264494,0.843211564187602
"39","Tampon.use.1mth",0.797788812612471,0.836715549715489
"40","smoking.current",0.860759811984866,0.937845607749593
"41","druguse",0.855614330300348,0.947344815983313
"42","substanceuse",0.852102746225929,0.932857330396029
"43","nugent_score_result",0.768122562522957,0.906775389470687
"44","sexpartner",0.437928830072716,0.813988801649059
"45","contramethnotactive___1",0.889947055157902,0.947403301121573
"46","abnormaldischarge2wk",0.802899328891234,0.896733858794951
"47","abnormaldischarge48",0.883579749769284,0.93557644213382
"48","abnormalodor2wk",0.777199286725703,0.935692293415203
"49","abnormalodor48",0.534319587356932,0.910705473031574
"50","irritationdiscomfort2wk",0.824037306747625,0.885066144965854
"51","irritationdiscomfort48",0.675720575216388,0.882065962067583
"52","vaginalsymptomother2wk",0.0339357629681749,0.680741285315938
