,Participants,Shannon.s.Diversity
1,Vogue1A.01.52,1.317748836
2,Vogue1A.01.59,1.937218718
3,Vogue1A.01.61,1.33422233
4,Vogue1A.01.62,1.622183997
5,Vogue1A.01.64,0.532415879
6,Vogue1A.01.65,1.406179745
7,Vogue1A.01.68,0.247585016
8,Vogue1A.01.69,0.46282575
9,Vogue1A.01.70,1.410837459
10,Vogue1A.01.71,1.370269894
11,Vogue1A.01.74,0.805179583
12,Vogue1A.01.75,1.73664402
13,Vogue1A.01.76,0.79944034
14,Vogue1A.01.77,1.025426349
15,Vogue1A.01.78,1.398294918
16,Vogue1A.01.81,0.641573597
17,Vogue1A.01.84,0.968043771
18,Vogue1A.01.85,0.458476464
19,Vogue1A.01.92,0.291757734
20,Vogue1A.01.101,0.335329717
21,Vogue1A.01.106,1.63939392
22,Vogue1B.01.01,1.858602793
23,Vogue1B.01.03,0.340496455
24,Vogue1B.01.04,2.418323803
25,Vogue1B.01.05,0.24761328
26,Vogue1B.01.06,0.064833062
27,Vogue1B.01.08,0.72075728
28,Vogue1B.01.09,2.952872221
29,Vogue1B.01.11,2.395786546
30,Vogue1B.01.12,1.372493925
31,Vogue1B.01.13,1.07139849
32,Vogue1B.01.15,2.376846013
33,Vogue1B.01.17,1.755503838
34,Vogue1B.01.21,2.414330486
35,Vogue1B.01.26,1.582173299
36,Vogue1B.01.27,0.006734007
37,Vogue1B.01.32,0.341613129
38,Vogue1B.01.34,0.770522352
39,Vogue1B.01.36,0.810350899
40,Vogue1B.01.37,2.179287032
41,Vogue1B.01.38,1.60785837
42,Vogue1B.01.40,2.901773303
43,Vogue1B.01.43,1.700058217
44,Vogue1B.01.48,1.300799053
45,Vogue1B.01.51,2.352522271
46,Vogue1B.01.52,0.186216109
47,Vogue1B2.01.06,1.360899677
48,Vogue1B2.01.07,0.273061864
49,Vogue1B2.01.08,1.110827339
50,Vogue1B2.01.09,0.19164577
51,Vogue1B2.01.10,1.187375402
52,Vogue1B2.01.11,0.650197342
53,Vogue1B2.01.12,1.849868094
54,Vogue1B2.01.15,0.355939908
