"","var","chao"
"1","Vogue1A.01.61",95
"2","Vogue1A.01.106",68
"3","Vogue1B2.01.11",59
"4","Vogue1A.01.52",88
"5","Vogue1A.01.59",57
"6","Vogue1A.01.62",72
"7","Vogue1A.01.64",86
"8","Vogue1A.01.71",70
"9","Vogue1A.01.75",73
"10","Vogue1A.01.76",131
"11","Vogue1A.01.78",52
"12","Vogue1A.01.81",96
"13","Vogue1A.01.84",83
"14","Vogue1A.01.85",54
"15","Vogue1A.01.92",85
"16","Vogue1B.01.01",92
"17","Vogue1B.01.04",40
"18","Vogue1B.01.05",64
"19","Vogue1B.01.06",109
"20","Vogue1B.01.08",75
"21","Vogue1B.01.09",49
"22","Vogue1B.01.11",93
"23","Vogue1B.01.12",99
"24","Vogue1B.01.13",69
"25","Vogue1B.01.15",77
"26","Vogue1B.01.17",75
"27","Vogue1B.01.21",85
"28","Vogue1B.01.26",89
"29","Vogue1B.01.27",80
"30","Vogue1B.01.32",51
"31","Vogue1B.01.34",101
"32","Vogue1B.01.36",136
"33","Vogue1B.01.37",87
"34","Vogue1B.01.38",88
"35","Vogue1B.01.40",86
"36","Vogue1B.01.43",86
"37","Vogue1B.01.51",58
"38","Vogue1B.01.52",43
"39","Vogue1B2.01.06",131
"40","Vogue1B2.01.07",45
"41","Vogue1B2.01.08",58
"42","Vogue1B2.01.09",55
"43","Vogue1B2.01.10",80
"44","Vogue1B2.01.12",66
"45","Vogue1B2.01.15",38
"46","Vogue1A.01.65",64
"47","Vogue1A.01.68",68
"48","Vogue1A.01.69",63
"49","Vogue1A.01.70",62
"50","Vogue1A.01.74",71
"51","Vogue1A.01.77",71
"52","Vogue1A.01.101",66
"53","Vogue1B.01.03",69
"54","Vogue1B.01.48",93
