"","Participants","PielousEvenness","ShannonsDiversity","Chao1","GoodsCoverage"
"1","Vogue1A.01.61",0.30483287330386,1.3849456027458,95,0.95514950166113
"2","Vogue1A.01.106",0.768105658766262,3.22964819432694,68,0.96036036036036
"3","Vogue1B2.01.11",0.754441743638725,3.06336770482231,59,0.969262295081967
"4","Vogue1A.01.52",0.750347446649215,3.35098275380247,88,0.888888888888889
"5","Vogue1A.01.59",0.767053979155858,3.08766203188016,57,0.997341183173488
"6","Vogue1A.01.62",0.352371897080214,1.5020485949187,72,0.993719469644103
"7","Vogue1A.01.64",0.753569474565793,3.34784637303247,86,0.951909476661952
"8","Vogue1A.01.71",0.638093618759589,2.70175634173198,70,0.974424552429668
"9","Vogue1A.01.75",0.729498640545672,3.11982211988995,73,0.946581196581197
"10","Vogue1A.01.76",0.628338339934123,3.05845851617142,131,0.97189349112426
"11","Vogue1A.01.78",0.0272075828731138,0.10697547174498,52,0.980091883614089
"12","Vogue1A.01.81",0.680227248197154,3.09767114660204,96,0.956140350877193
"13","Vogue1A.01.84",0.63275310261156,2.78836527604454,83,0.981657608695652
"14","Vogue1A.01.85",0.263076188854454,1.04448926525695,54,0.972515856236786
"15","Vogue1A.01.92",0.18240916751423,0.808221603685074,85,0.997365416703258
"16","Vogue1B.01.01",0.630052543838221,2.84207850697776,92,0.992065344224037
"17","Vogue1B.01.04",0.116302674219461,0.426082016612727,40,0.999982725953618
"18","Vogue1B.01.05",0.759382773768051,3.14622514062194,64,0.987025023169602
"19","Vogue1B.01.06",0.66933441358846,3.13391155925141,109,0.977653631284916
"20","Vogue1B.01.08",0.451754382735436,1.94438026943359,75,0.999320762040301
"21","Vogue1B.01.09",0.150624571597216,0.583097993834709,49,0.999894099280217
"22","Vogue1B.01.11",0.61718339070719,2.79077280604417,93,0.994871794871795
"23","Vogue1B.01.12",0.416471554580996,1.90950853354524,99,0.992414334292441
"24","Vogue1B.01.13",0.465608361698684,1.96463806978202,69,0.999984420464179
"25","Vogue1B.01.15",0.393520955535544,1.70423432223912,77,0.981818181818182
"26","Vogue1B.01.17",0.708802790530553,3.05073334868826,75,0.98104864181933
"27","Vogue1B.01.21",0.306744174582286,1.35912724168652,85,0.995749202975558
"28","Vogue1B.01.26",0.505033690533942,2.26120593517941,89,0.999030590262818
"29","Vogue1B.01.27",0.665570288737589,2.90817466879031,80,0.996273953158268
"30","Vogue1B.01.32",0.474068920730381,1.85456852405574,51,0.98666243251826
"31","Vogue1B.01.34",0.0982353425949448,0.452390470928566,101,0.992419021364576
"32","Vogue1B.01.36",0.494084545181196,2.42362045789354,136,0.996048732301613
"33","Vogue1B.01.37",0.477409434220488,2.12654742252595,87,0.947604790419162
"34","Vogue1B.01.38",0.201667855838859,0.900630114662421,88,0.999962343579775
"35","Vogue1B.01.40",0.638811698022172,2.83801759287892,86,0.998761137847239
"36","Vogue1B.01.43",0.232368964049195,1.03233427010251,86,0.98202614379085
"37","Vogue1B.01.51",0.664429288928048,2.68632167898695,58,0.997367651360047
"38","Vogue1B.01.52",0.481756611040318,1.80064704849255,43,0.999922823733579
"39","Vogue1B2.01.06",0.364973491407401,1.77652104292858,131,0.999411275096937
"40","Vogue1B2.01.07",0.462315421569982,1.74948922590568,45,0.998187311178248
"41","Vogue1B2.01.08",0.736735407654295,2.9786590239753,58,0.999775955245363
"42","Vogue1B2.01.09",0.740424481379009,2.95354144390649,55,0.983597285067873
"43","Vogue1B2.01.10",0.480862592352332,2.10110402148562,80,0.99997360223853
"44","Vogue1B2.01.12",0.637584244627604,2.6615235542595,66,0.97029702970297
"45","Vogue1B2.01.15",0.0762212602367104,0.275228713913055,38,0.985533453887884
"46","Vogue1A.01.65",0.68645317855837,2.84406800212703,64,0.9921392476137
"47","Vogue1A.01.68",0.774250193292567,3.25548407329929,68,0.999799570508232
"48","Vogue1A.01.69",0.732832770388496,3.02449932515822,63,0.986697965571205
"49","Vogue1A.01.70",0.455107550251947,1.87088973371867,62,0.948356807511737
"50","Vogue1A.01.74",0.494226756387175,2.0997200230044,71,0.989482909728309
"51","Vogue1A.01.77",0.340255189501866,1.44557255368128,71,0.990463215258856
"52","Vogue1A.01.101",0.73621745451713,3.07325677001128,66,0.936363636363636
"53","Vogue1B.01.03",0.475446996392673,2.00615226468172,69,0.990783410138249
"54","Vogue1B.01.48",0.546606310183503,2.47163816953069,93,0.999400509566868
