"","Virus_Groups","Vogue1A.01.61","Vogue1A.01.101","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.106","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77"
"1","Adenoviridae",76,18,16,9,48,23,25,10,198,8,20,22,5,21,24,31,19,23,15,27,13
"2","Anelloviridae",0,0,8,1,1,33,1,0,1,0,337,0,0,0,1,34,1,6,0,0,0
"3","Baculoviridae",10,14,5,1,7,4,9,2,12,1,9,11,6,3,2,3,5,8,1,4,6
"4","Caudovirales",3,1,1,0,0,0,0,0,345,2,2,2,1,3,0,0,2,0,0,0,0
"5","Coccolithovirus",195,125,136,35,202,144,102,130,383,39,184,192,18,84,111,126,65,149,94,108,55
"6","dsDNA",277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","dsDNA_RT",0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
"8","dsRNA",0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,6,0,2,1,1,0
"9","Herpesviridae",102,61,63,12,84,83,95,82,837,33,47,84,24,52,82,239,85,107,40,69,76
"10","Human papillomavirus type 56",22,16,9,2,15,17,19,6,8,8,6,15,3,10,7,14,6,23,10,9,10
"11","Mimiviridae",2,33,45,53,0,0,1,6,41,1,1,3,2,1,6,0,0,0,1,1,2
"12","Other_Phages",4,0,42,40,20,1,10,11,245,2,7,47,9,3,2,0,0,0,0,0,0
"13","Other_Viruses_unclassified",5,0,10,9,3,2,2,36,795,1,37,2,94,12,2,0,0,0,0,0,0
"14","Papillomaviridae",9063,172,357,10,3622,192,313,240,126,1099156,210,216,290,284908,155,183,183,204,144,1063,4038
"15","Phycodnaviridae",25,19,27,39,24,28,16,33,51,26,101,39,4,26,21,14,14,15,10,22,16
"16","Picornaviridae",72,1,5,10,3,9,6,6,1,1,0,6,1,2796,1,5,3,4,2,4,2
"17","Podoviridae",253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Polydnaviridae",21,34,29,3,6,25,16,5,168,2,43,31,4,23,43,15,16,27,3,20,10
"19","Polyomaviridae",1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0
"20","positive_ssRNA",3,3,7,1,3,3,0,2,23,3,83,8,0,1,1,75,3,1,1,1,3
"21","Retroviridae",14,10,7,1,3,21,7,1,25,1,3,13,6,5,6,6,8,5,4,13,3
"22","Siphoviridae",391,0,37,12,215,52,10,79,6674,50,77,466,18125,838,14,0,0,0,0,0,0
"23","ssDNA",0,1,0,0,0,0,1,1,14,0,0,0,0,1,5,0,0,0,0,0,0
