"","Virus_Groups","Vogue1B2.01.11","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Adenoviridae",10,8,804,9,6,17,60,22
"2","Anelloviridae",0,0,0,1,0,3,0,0
"3","Baculoviridae",2,6,3,4,23,774,5,1
"4","Caudovirales",0,46,0,0,2,0,1,0
"5","Coccolithovirus",33,14,41,89,3,68,185,24
"6","dsDNA",51,642,22,32,92,273,347,15
"7","dsRNA",0,2,0,0,0,0,0,0
"8","Herpesviridae",91,36,171,61,32,147,23,25
"9","Human papillomavirus type 56",9,26275,8,9,16,8,3,5
"10","Mimiviridae",6,3,0,3,49,2,8,3
"11","Other_Phages",0,888,0,2,52,1,414,3
"12","Other_Viruses_unclassified",1,45,0,1,0,0,153,2
"13","Papillomaviridae",159,69159,184,103,115,427,40,83
"14","Phycodnaviridae",14,8,7,16,109,1159,53,13
"15","Picornaviridae",2,36,5,0,4,0,16,10
"16","Podoviridae",4,1054,4,4,197,5,10,19798
"17","Polydnaviridae",53,3,25,38,1,41,3,5
"18","Polyomaviridae",0,0,0,1,162,0,0,0
"19","positive_ssRNA",1,7,1,2,1,1,10,0
"20","Retroviridae",5,0,3,3,0,7,3,3
"21","Siphoviridae",2,6569,4,50,284,15,841,7
"22","ssDNA",1,9,0,0,0,0,0,0
