,Virus_Groups,Vogue1A.01.61,Vogue1A.01.101,Vogue1B2.01.11,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.71,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.106,Vogue1B.01.01,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.51,Vogue1B.01.52,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.12,Vogue1B2.01.15,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.74,Vogue1A.01.77,Vogue1B.01.03,Vogue1B.01.48
1,Adenoviridae,76,18,10,16,9,48,23,25,10,198,8,20,22,5,21,24,6,5,21,54,24,6,13,16,9,10,13,11,13,21,28,20,28,10,24,9,9,5,99,8,804,9,6,17,60,22,31,19,23,15,27,13,13,30
2,Anelloviridae,0,0,0,8,1,1,33,1,0,1,0,337,0,0,0,1,2,0,0,32,7,0,63,4,1,0,1,13,37,0,0,22,6,8,65,73,0,21,0,0,0,1,0,3,0,0,34,1,6,0,0,0,0,31
3,Baculoviridae,10,14,2,5,1,7,4,9,2,12,1,9,11,6,3,2,3,0,1,30,4,0,25,19,10,8,14,1,3,10,0,6,2,9,14,4,25,3,4,6,3,4,23,774,5,1,3,5,8,1,4,6,7,13
4,Caudovirales,3,0,0,1,0,0,0,0,0,345,2,2,2,1,3,0,0,0,0,7,0,36,25,5,1,9,0,0,1,0,1,0,9,45,0,2,5,0,0,46,0,0,2,0,1,0,0,0,0,0,0,0,0,0
5,Coccolithovirus,195,125,33,136,35,202,144,102,130,383,39,184,192,18,84,111,32,67,119,398,77,1,40,105,50,7,102,17,12,165,50,141,159,367,257,18,8,12,120,14,41,89,3,68,185,24,126,65,149,94,108,55,153,272
6,dsDNA,277,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,dsDNA_RT,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,dsRNA,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,8,13,0,0,1,0,0,0,1,0,2,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,6,0,2,1,1,0,0,15
9,Herpesviridae,102,61,91,63,12,84,83,95,82,837,33,47,84,24,52,82,859,1090635,71,176,90,72,2214,85,1870,128,85,90,2635,136,52,95,20,221,166,31,115,37,8,36,171,61,32,147,23,25,239,85,107,40,69,76,106,87
10,Human_papillomavirus_type_56,22,16,9,9,2,15,17,19,6,8,8,6,15,3,10,7,13,9,8,11,9,6,5,8,33,12,16,299198,23,9,9,17,12,20,15,64,16,4,20,26275,8,9,16,8,3,5,14,6,23,10,9,10,6,22
